X,Y,profile_id,layer_id,profile_code,layer_name,upper_depth,lower_depth,organic_surface,value,method_options,value_avg,dataset_id,country_name,positional_uncertainty,region,continent,date,licence
1.13889,12.075,576341,86383,BF VALSOL_ES-118,,95,160,0,{1.91},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",1.91,AF-AfSP,Burkina Faso,100 m - 1 km,Western Africa,Africa,1969-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.20833,11.3333,576343,86388,BF VALSOL_ES-90,A1,0,24,0,{1.57},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",1.57,AF-AfSP,Burkina Faso,100 m - 1 km,Western Africa,Africa,1969-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.20833,11.3333,576343,86389,BF VALSOL_ES-90,A2,24,41,0,{1.48},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",1.48,AF-AfSP,Burkina Faso,100 m - 1 km,Western Africa,Africa,1969-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.20833,11.3333,576343,86390,BF VALSOL_ES-90,B,41,125,0,{1.66},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",1.66,AF-AfSP,Burkina Faso,100 m - 1 km,Western Africa,Africa,1969-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.20833,11.3333,576343,86391,BF VALSOL_ES-90,B2,125,175,0,{1.60},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",1.6,AF-AfSP,Burkina Faso,100 m - 1 km,Western Africa,Africa,1969-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.25,11.7556,576347,86399,BF VALSOL_ES-99,,0,16,0,{1.65},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",1.65,AF-AfSP,Burkina Faso,100 m - 1 km,Western Africa,Africa,1969-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.25,11.7556,576347,86400,BF VALSOL_ES-99,,16,56,0,{1.85},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",1.85,AF-AfSP,Burkina Faso,100 m - 1 km,Western Africa,Africa,1969-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.25,11.7556,576347,86401,BF VALSOL_ES-99,,56,150,0,{1.85},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",1.85,AF-AfSP,Burkina Faso,100 m - 1 km,Western Africa,Africa,1969-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.25278,11.7528,576348,86403,BF VALSOL_ES-100,,20,100,0,{1.72},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",1.72,AF-AfSP,Burkina Faso,100 m - 1 km,Western Africa,Africa,1969-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
1.25278,11.7528,576348,86404,BF VALSOL_ES-100,,100,180,0,{1.76},"{""measurement condition = [ oven dry (∼ 105-110 ◦ C) ]""}",1.76,AF-AfSP,Burkina Faso,100 m - 1 km,Western Africa,Africa,1969-??-??,"Attribution-NonCommercial 3.0 International (CC BY-NC 3.0), https://creativecommons.org/licenses/by-nc/3.0/"
