row_index,mahalanobis_distance_squared,mahalanobis_threshold,is_multivariate_outlier
0,70.88366947555039,42.97982013935165,True
1,70.88366947555039,42.97982013935165,True
2,70.88366947555039,42.97982013935165,True
3,70.88366947555039,42.97982013935165,True
4,70.88366947555039,42.97982013935165,True
5,70.88366947555039,42.97982013935165,True
6,70.88366947555039,42.97982013935165,True
7,70.88366947555039,42.97982013935165,True
8,70.88366947555039,42.97982013935165,True
9,19.57187134721446,42.97982013935165,False
10,19.57187134721446,42.97982013935165,False
11,19.57187134721446,42.97982013935165,False
12,19.57187134721446,42.97982013935165,False
13,19.57187134721446,42.97982013935165,False
14,19.57187134721446,42.97982013935165,False
15,19.57187134721446,42.97982013935165,False
16,19.57187134721446,42.97982013935165,False
17,19.57187134721446,42.97982013935165,False
18,19.57187134721538,42.97982013935165,False
19,19.57187134721538,42.97982013935165,False
20,19.57187134721538,42.97982013935165,False
21,19.57187134721538,42.97982013935165,False
22,19.57187134721538,42.97982013935165,False
23,19.57187134721538,42.97982013935165,False
24,19.57187134721538,42.97982013935165,False
25,19.57187134721538,42.97982013935165,False
26,19.57187134721538,42.97982013935165,False
27,392.5352208902538,42.97982013935165,True
28,392.5352208902538,42.97982013935165,True
29,392.5352208902538,42.97982013935165,True
30,392.5352208902538,42.97982013935165,True
31,392.5352208902538,42.97982013935165,True
32,392.5352208902538,42.97982013935165,True
33,392.5352208902538,42.97982013935165,True
34,392.5352208902538,42.97982013935165,True
35,359.45648356234483,42.97982013935165,True
36,359.45648356234483,42.97982013935165,True
37,359.45648356234483,42.97982013935165,True
38,359.45648356234483,42.97982013935165,True
39,359.45648356234483,42.97982013935165,True
40,359.45648356234483,42.97982013935165,True
41,359.45648356234483,42.97982013935165,True
42,359.45648356234483,42.97982013935165,True
43,265.6133659859262,42.97982013935165,True
44,265.6133659859262,42.97982013935165,True
45,265.6133659859262,42.97982013935165,True
46,265.6133659859262,42.97982013935165,True
47,265.6133659859262,42.97982013935165,True
48,265.6133659859262,42.97982013935165,True
49,265.6133659859262,42.97982013935165,True
50,19.34152976027092,42.97982013935165,False
51,19.34152976027092,42.97982013935165,False
52,19.34152976027092,42.97982013935165,False
53,19.34152976027092,42.97982013935165,False
54,19.34152976027092,42.97982013935165,False
55,19.34152976027092,42.97982013935165,False
56,19.34152976027092,42.97982013935165,False
57,19.34152976027092,42.97982013935165,False
58,19.34152976027092,42.97982013935165,False
59,18.01065142775555,42.97982013935165,False
60,18.01065142775555,42.97982013935165,False
61,18.01065142775555,42.97982013935165,False
62,18.01065142775555,42.97982013935165,False
63,18.01065142775555,42.97982013935165,False
64,18.01065142775555,42.97982013935165,False
65,18.01065142775555,42.97982013935165,False
66,18.01065142775555,42.97982013935165,False
67,18.01065142775555,42.97982013935165,False
68,21.264711192853138,42.97982013935165,False
69,21.264711192853138,42.97982013935165,False
70,21.264711192853138,42.97982013935165,False
71,21.264711192853138,42.97982013935165,False
72,21.264711192853138,42.97982013935165,False
73,21.264711192853138,42.97982013935165,False
74,21.264711192853138,42.97982013935165,False
75,21.264711192853138,42.97982013935165,False
76,21.264711192853138,42.97982013935165,False
77,12.688624281822563,42.97982013935165,False
78,12.688624281822563,42.97982013935165,False
79,12.688624281822563,42.97982013935165,False
80,12.688624281822563,42.97982013935165,False
81,12.688624281822563,42.97982013935165,False
82,12.688624281822563,42.97982013935165,False
83,12.688624281822563,42.97982013935165,False
84,12.688624281822563,42.97982013935165,False
85,12.688624281822563,42.97982013935165,False
86,12.688624281822563,42.97982013935165,False
87,11.660158367097281,42.97982013935165,False
88,11.660158367097281,42.97982013935165,False
89,11.660158367097281,42.97982013935165,False
90,11.660158367097281,42.97982013935165,False
91,11.660158367097281,42.97982013935165,False
92,11.660158367097281,42.97982013935165,False
93,11.660158367097281,42.97982013935165,False
94,11.660158367097281,42.97982013935165,False
95,11.660158367097281,42.97982013935165,False
96,11.660158367097281,42.97982013935165,False
97,15.315546288033461,42.97982013935165,False
98,15.315546288033461,42.97982013935165,False
99,15.315546288033461,42.97982013935165,False
100,15.315546288033461,42.97982013935165,False
101,15.315546288033461,42.97982013935165,False
102,15.315546288033461,42.97982013935165,False
103,15.315546288033461,42.97982013935165,False
104,15.315546288033461,42.97982013935165,False
105,15.315546288033461,42.97982013935165,False
106,1007.3264993997943,42.97982013935165,True
107,1007.3264993997943,42.97982013935165,True
108,1007.3264993997943,42.97982013935165,True
109,1007.3264993997943,42.97982013935165,True
110,1007.3264993997943,42.97982013935165,True
111,1007.3264993997943,42.97982013935165,True
112,1007.3264993997943,42.97982013935165,True
113,1007.3264993997943,42.97982013935165,True
114,1007.3264993997943,42.97982013935165,True
115,810.4257797928861,42.97982013935165,True
116,810.4257797928861,42.97982013935165,True
117,810.4257797928861,42.97982013935165,True
118,810.4257797928861,42.97982013935165,True
119,810.4257797928861,42.97982013935165,True
120,810.4257797928861,42.97982013935165,True
121,810.4257797928861,42.97982013935165,True
122,810.4257797928861,42.97982013935165,True
123,810.4257797928861,42.97982013935165,True
124,877.6074331157063,42.97982013935165,True
125,877.6074331157063,42.97982013935165,True
126,877.6074331157063,42.97982013935165,True
127,877.6074331157063,42.97982013935165,True
128,877.6074331157063,42.97982013935165,True
129,877.6074331157063,42.97982013935165,True
130,877.6074331157063,42.97982013935165,True
131,877.6074331157063,42.97982013935165,True
132,877.6074331157063,42.97982013935165,True
133,2088.7405219409293,42.97982013935165,True
134,2088.7405219409293,42.97982013935165,True
135,2088.7405219409293,42.97982013935165,True
136,2088.7405219409293,42.97982013935165,True
137,2088.7405219409293,42.97982013935165,True
138,2088.7405219409293,42.97982013935165,True
139,2088.7405219409293,42.97982013935165,True
140,2088.7405219409293,42.97982013935165,True
141,2019.5196438949645,42.97982013935165,True
142,2019.5196438949645,42.97982013935165,True
143,2019.5196438949645,42.97982013935165,True
144,2019.5196438949645,42.97982013935165,True
145,2019.5196438949645,42.97982013935165,True
146,2019.5196438949645,42.97982013935165,True
147,2019.5196438949645,42.97982013935165,True
148,2019.5196438949645,42.97982013935165,True
149,2019.5196438949645,42.97982013935165,True
150,2019.5196438949645,42.97982013935165,True
151,2412.077953779893,42.97982013935165,True
152,2412.077953779893,42.97982013935165,True
153,2412.077953779893,42.97982013935165,True
154,2412.077953779893,42.97982013935165,True
155,2412.077953779893,42.97982013935165,True
156,2412.077953779893,42.97982013935165,True
157,2412.077953779893,42.97982013935165,True
158,2412.077953779893,42.97982013935165,True
159,2412.077953779893,42.97982013935165,True
160,1021.2789852947093,42.97982013935165,True
161,1021.2789852947093,42.97982013935165,True
162,1021.2789852947093,42.97982013935165,True
163,1021.2789852947093,42.97982013935165,True
164,873.6322202320588,42.97982013935165,True
165,873.6322202320588,42.97982013935165,True
166,873.6322202320588,42.97982013935165,True
167,873.6322202320588,42.97982013935165,True
168,873.6322202320588,42.97982013935165,True
169,873.6322202320588,42.97982013935165,True
170,873.6322202320588,42.97982013935165,True
171,873.6322202320588,42.97982013935165,True
172,890.3498407763407,42.97982013935165,True
173,890.3498407763407,42.97982013935165,True
174,890.3498407763407,42.97982013935165,True
175,890.3498407763407,42.97982013935165,True
176,4503.172902229039,42.97982013935165,True
177,4503.172902229039,42.97982013935165,True
178,4503.172902229039,42.97982013935165,True
179,4503.172902229039,42.97982013935165,True
180,4503.172902229039,42.97982013935165,True
181,4503.172902229039,42.97982013935165,True
182,4503.172902229039,42.97982013935165,True
183,4503.172902229039,42.97982013935165,True
184,4503.172902229039,42.97982013935165,True
185,3972.262578388022,42.97982013935165,True
186,3972.262578388022,42.97982013935165,True
187,3972.262578388022,42.97982013935165,True
188,3972.262578388022,42.97982013935165,True
189,3972.262578388022,42.97982013935165,True
190,3972.262578388022,42.97982013935165,True
191,3972.262578388022,42.97982013935165,True
192,3972.262578388022,42.97982013935165,True
193,3972.262578388022,42.97982013935165,True
194,3301.2455600948037,42.97982013935165,True
195,3301.2455600948037,42.97982013935165,True
196,3301.2455600948037,42.97982013935165,True
197,3301.2455600948037,42.97982013935165,True
198,3301.2455600948037,42.97982013935165,True
199,3301.2455600948037,42.97982013935165,True
200,3301.2455600948037,42.97982013935165,True
201,3301.2455600948037,42.97982013935165,True
202,3301.2455600948037,42.97982013935165,True
203,20.672545171864446,42.97982013935165,False
204,20.672545171864446,42.97982013935165,False
205,20.672545171864446,42.97982013935165,False
206,20.672545171864446,42.97982013935165,False
207,20.672545171864446,42.97982013935165,False
208,20.672545171864446,42.97982013935165,False
209,20.672545171864446,42.97982013935165,False
210,20.672545171864446,42.97982013935165,False
211,20.672545171864446,42.97982013935165,False
212,63.918248409613774,42.97982013935165,True
213,63.918248409613774,42.97982013935165,True
214,63.918248409613774,42.97982013935165,True
215,63.918248409613774,42.97982013935165,True
216,63.918248409613774,42.97982013935165,True
217,63.918248409613774,42.97982013935165,True
218,63.918248409613774,42.97982013935165,True
219,63.918248409613774,42.97982013935165,True
220,63.918248409613774,42.97982013935165,True
221,20.672545171867174,42.97982013935165,False
222,20.672545171867174,42.97982013935165,False
223,20.672545171867174,42.97982013935165,False
224,20.672545171867174,42.97982013935165,False
225,20.672545171867174,42.97982013935165,False
226,20.672545171867174,42.97982013935165,False
227,20.672545171867174,42.97982013935165,False
228,20.672545171867174,42.97982013935165,False
229,20.672545171867174,42.97982013935165,False
230,14.091760388181237,42.97982013935165,False
231,14.091760388181237,42.97982013935165,False
232,14.091760388181237,42.97982013935165,False
233,14.091760388181237,42.97982013935165,False
234,14.091760388181237,42.97982013935165,False
235,14.091760388181237,42.97982013935165,False
236,14.091760388181237,42.97982013935165,False
237,14.091760388181237,42.97982013935165,False
238,14.091760388181237,42.97982013935165,False
239,14.091760388181237,42.97982013935165,False
240,17.563593747201157,42.97982013935165,False
241,17.563593747201157,42.97982013935165,False
242,17.563593747201157,42.97982013935165,False
243,17.563593747201157,42.97982013935165,False
244,17.563593747201157,42.97982013935165,False
245,17.563593747201157,42.97982013935165,False
246,17.563593747201157,42.97982013935165,False
247,17.563593747201157,42.97982013935165,False
248,17.563593747201157,42.97982013935165,False
249,17.563593747201157,42.97982013935165,False
250,18.05888000072772,42.97982013935165,False
251,18.05888000072772,42.97982013935165,False
252,18.05888000072772,42.97982013935165,False
253,18.05888000072772,42.97982013935165,False
254,18.05888000072772,42.97982013935165,False
255,18.05888000072772,42.97982013935165,False
256,18.05888000072772,42.97982013935165,False
257,18.05888000072772,42.97982013935165,False
258,18.05888000072772,42.97982013935165,False
259,18.05888000072772,42.97982013935165,False
260,16.5778542202847,42.97982013935165,False
261,16.5778542202847,42.97982013935165,False
262,16.5778542202847,42.97982013935165,False
263,16.5778542202847,42.97982013935165,False
264,16.5778542202847,42.97982013935165,False
265,16.5778542202847,42.97982013935165,False
266,16.5778542202847,42.97982013935165,False
267,16.5778542202847,42.97982013935165,False
268,16.5778542202847,42.97982013935165,False
269,16.5778542202847,42.97982013935165,False
270,89.04508746702037,42.97982013935165,True
271,89.04508746702037,42.97982013935165,True
272,89.04508746702037,42.97982013935165,True
273,89.04508746702037,42.97982013935165,True
