model,mae,n
RandomForest,0.33766374570705554,1503
XGBoost,0.341236599482189,1503
PCR,0.49759298071868835,1503
PLS,0.5082296950449319,1503
Ridge,0.5143917908326746,1503
mean_predictor,0.730231367561795,1503
historical_mean,0.7686370256442838,1503
previous_year_yield,1.0113797777156082,501
OLS,1.0797393426067512,1503
