fold,feature,importance_mean,importance_std,model,feature_space
4,soil_ph_sd,0.0,0.0,dummy_mean,raw
4,soil_organic_carbon_sd,0.0,0.0,dummy_mean,raw
4,clay_pct_sd,0.0,0.0,dummy_mean,raw
4,sand_pct_sd,0.0,0.0,dummy_mean,raw
4,silt_pct_sd,0.0,0.0,dummy_mean,raw
4,bulk_density_sd,0.0,0.0,dummy_mean,raw
4,cation_exchange_capacity_sd,0.0,0.0,dummy_mean,raw
4,season,0.0,0.0,dummy_mean,raw
4,crop,0.0,0.0,dummy_mean,raw
5,rain_total_mm,0.0,0.0,dummy_mean,raw
5,rainy_days_1mm,0.0,0.0,dummy_mean,raw
5,heavy_rain_days_20mm,0.0,0.0,dummy_mean,raw
5,maximum_5day_rainfall_mm,0.0,0.0,dummy_mean,raw
5,longest_dry_spell_days,0.0,0.0,dummy_mean,raw
5,wet_day_rainfall_cv,0.0,0.0,dummy_mean,raw
5,temperature_mean_c,0.0,0.0,dummy_mean,raw
5,temperature_maximum_c,0.0,0.0,dummy_mean,raw
5,growing_degree_days,0.0,0.0,dummy_mean,raw
5,heat_days_32c,0.0,0.0,dummy_mean,raw
5,soil_ph,0.0,0.0,dummy_mean,raw
5,soil_organic_carbon,0.0,0.0,dummy_mean,raw
5,clay_pct,0.0,0.0,dummy_mean,raw
5,sand_pct,0.0,0.0,dummy_mean,raw
5,silt_pct,0.0,0.0,dummy_mean,raw
5,bulk_density,0.0,0.0,dummy_mean,raw
5,cation_exchange_capacity,0.0,0.0,dummy_mean,raw
5,soil_ph_sd,0.0,0.0,dummy_mean,raw
5,soil_organic_carbon_sd,0.0,0.0,dummy_mean,raw
5,clay_pct_sd,0.0,0.0,dummy_mean,raw
5,sand_pct_sd,0.0,0.0,dummy_mean,raw
5,silt_pct_sd,0.0,0.0,dummy_mean,raw
5,bulk_density_sd,0.0,0.0,dummy_mean,raw
5,cation_exchange_capacity_sd,0.0,0.0,dummy_mean,raw
5,season,0.0,0.0,dummy_mean,raw
5,crop,0.0,0.0,dummy_mean,raw
1,rain_total_mm,-1.2360783476717465,0.5005553705958252,ols,raw
1,rainy_days_1mm,0.8235644870691786,0.21087966549742657,ols,raw
1,heavy_rain_days_20mm,0.9228424588528739,0.20968682905227326,ols,raw
1,maximum_5day_rainfall_mm,1.6616534527111342,0.25936299177957084,ols,raw
1,longest_dry_spell_days,-0.29168310648755946,0.030168927576427224,ols,raw
1,wet_day_rainfall_cv,-1.5934238437855193,0.23510550937299146,ols,raw
1,temperature_mean_c,-1.7332676473963153,1.0140348205276373,ols,raw
1,temperature_maximum_c,20.343908094640987,4.695127538768071,ols,raw
1,growing_degree_days,99.08964668093185,5.457190242275867,ols,raw
1,heat_days_32c,-0.36141937930838564,0.11673076266921764,ols,raw
1,soil_ph,-3.709768916211741,1.0892285601729341,ols,raw
1,soil_organic_carbon,-1.0311992222915791,0.11299685649390705,ols,raw
1,clay_pct,1.2659919735101006,0.3244295817253234,ols,raw
1,sand_pct,-0.5174726508821201,0.15895570970900103,ols,raw
1,silt_pct,-0.806651767911152,0.2890070789431812,ols,raw
