observed,predicted,residual,absolute_error
2.3426553850030096,2.338683099040757,0.003972285962252631,0.003972285962252631
1.5222384603844508,1.9970041474289013,-0.47476568704445055,0.47476568704445055
2.591624259545572,1.965438648032904,0.626185611512668,0.626185611512668
3.423349924580549,2.35633831223522,1.067011612345329,1.067011612345329
1.2175480596073385,1.8469801948465767,-0.6294321352392382,0.6294321352392382
7.244065383360269,2.0886765535397025,5.155388829820566,5.155388829820566
1.5321273000173696,2.029166969851584,-0.4970396698342143,0.4970396698342143
2.404748318614775,2.201945241752944,0.20280307686183097,0.20280307686183097
1.658719821291578,1.750187359728009,-0.09146753843643118,0.09146753843643118
2.314641460829224,2.7995333165747462,-0.4848918557455222,0.4848918557455222
1.0,2.1102837512458743,-1.1102837512458743,1.1102837512458743
2.1,1.9739474227277167,0.12605257727228336,0.12605257727228336
2.1,1.8214861586698388,0.2785138413301613,0.2785138413301613
0.8570862730857126,0.5750914653134251,0.28199480777228747,0.28199480777228747
1.3411688832335629,1.953532077781918,-0.6123631945483552,0.6123631945483552
0.98602045418736,0.9482504018723013,0.0377700523150587,0.0377700523150587
0.5422885207412549,0.453488268347237,0.0888002523940179,0.0888002523940179
0.6821726355797036,0.6359103034668288,0.04626233211287489,0.04626233211287489
0.9352419701157908,1.1258476833183502,-0.19060571320255937,0.19060571320255937
0.6433017110440628,0.4815309448518425,0.16177076619222025,0.16177076619222025
0.7,0.5040441926797081,0.19595580732029183,0.19595580732029183
0.4,0.3838364904458491,0.016163509554150912,0.016163509554150912
0.6,0.0,0.6,0.6
0.3,0.5186888274153652,-0.21868882741536516,0.21868882741536516
0.4,0.1310901277843055,0.2689098722156945,0.2689098722156945
0.7,0.8257806512334248,-0.12578065123342486,0.12578065123342486
0.6650306538588546,0.7220330850819956,-0.05700243122314097,0.05700243122314097
0.4632654520489824,0.5007472166616731,-0.037481764612690704,0.037481764612690704
0.7496304931127424,1.6944375505369589,-0.9448070574242164,0.9448070574242164
0.6658246650132922,0.7864869995244185,-0.12066233451112629,0.12066233451112629
0.6198068833094819,0.133537345769249,0.48626953754023283,0.48626953754023283
0.4788089757102604,1.051626451977636,-0.5728174762673756,0.5728174762673756
0.8188652144271537,1.6799720667410205,-0.8611068523138669,0.8611068523138669
0.4,0.0,0.4,0.4
2.3426553850030096,2.317901470308374,0.024753914694635615,0.024753914694635615
1.5222384603844508,1.9371593441942525,-0.41492088380980174,0.41492088380980174
2.591624259545572,1.9281079893858768,0.6635162701596953,0.6635162701596953
3.423349924580549,2.3786564806671224,1.0446934439134266,1.0446934439134266
1.2175480596073385,1.7805854124688063,-0.5630373528614678,0.5630373528614678
7.244065383360269,1.911922967167062,5.332142416193207,5.332142416193207
1.5321273000173696,2.010944134456032,-0.4788168344386623,0.4788168344386623
2.404748318614775,2.2286378549574843,0.17611046365729077,0.17611046365729077
1.658719821291578,1.8651911764912368,-0.20647135519965887,0.20647135519965887
2.314641460829224,2.707793911387929,-0.39315245055870474,0.39315245055870474
1.0,1.9897563825197209,-0.9897563825197209,0.9897563825197209
2.1,1.8689174798132937,0.23108252018670639,0.23108252018670639
2.1,1.897373470020952,0.20262652997904818,0.20262652997904818
