model,feature_space,rmse,r2,n_components
SVR (raw),raw,0.21931485668376366,0.44478644231948383,37
SVR (PCA),PCA,0.24615454260987113,0.3005773901741545,6
Random Forest (PCA),PCA,0.25117253375317283,0.2717705281309164,6
Ridge (raw),raw,0.2535613020680214,0.2578530544994988,37
Ridge (PCA),PCA,0.254433562003134,0.25273824805011136,6
OLS (PCA),PCA,0.25469000306432116,0.25123117354763425,6
Random Forest (raw),raw,0.25716461665976487,0.23661014315889017,37
OLS (raw),raw,0.3370834365870344,-0.3115920744004841,37
