crop,table_id,entity_type,sub_region,season_group,area_planted_ha,production_mt,yield_mt_per_ha_production_over_planted,cv_area_planted_pct,cv_production_pct,year
banana_sweet,Table 6-23,sub_region,Acholi,first_season_2020,1856.5525152067526,5056.811860633791,2.7237645147197176,25.952201698106016,45.859883861749005,2020
banana_sweet,Table 6-23,sub_region,Acholi,second_season_2020,2418.265334417532,5779.715010187649,2.390025167184461,22.92452075818883,24.861042456128743,2020
banana_sweet,Table 6-23,sub_region,Acholi,total_2020,2418.265334417532,10836.526870821439,4.481115747140107,21.53000494513479,29.761031420972806,2020
banana_sweet,Table 6-23,sub_region,Ankole,first_season_2020,1704.6968464242595,9648.588460736919,5.66000252829447,21.687112995835207,23.20868748208273,2020
banana_sweet,Table 6-23,sub_region,Ankole,second_season_2020,1371.9245361413678,7984.137124756056,5.8196620254434634,19.17229247893698,22.380509181745232,2020
banana_sweet,Table 6-23,sub_region,Ankole,total_2020,1371.9245361413678,17632.725585492975,12.852547732024846,19.793473612056996,21.508089746692473,2020
banana_sweet,Table 6-23,sub_region,Bukedi,first_season_2020,1990.5269680363574,4748.607287488433,2.385603090910597,22.71747692158807,27.35013560789572,2020
banana_sweet,Table 6-23,sub_region,Bukedi,second_season_2020,771.4683152463656,2338.792436769201,3.031611785666552,21.97092843707173,25.028410865354907,2020
banana_sweet,Table 6-23,sub_region,Bukedi,total_2020,771.4683152463656,7087.399724257633,9.186896706178137,21.225381110454208,24.59213942136979,2020
banana_sweet,Table 6-23,sub_region,Bunyoro,first_season_2020,1678.880370508351,8068.091568252332,4.80563815622514,47.099777403740525,52.746877479226214,2020
banana_sweet,Table 6-23,sub_region,Bunyoro,second_season_2020,3351.1269058364146,6419.799963352772,1.9157137714396526,61.72600717473588,61.453847302095156,2020
banana_sweet,Table 6-23,sub_region,Bunyoro,total_2020,3351.1269058364146,14487.891531605103,4.323289430302562,55.10571942739604,55.8958939683845,2020
banana_sweet,Table 6-23,sub_region,Busoga,first_season_2020,1034.3242581149104,3031.0256599270183,2.9304404650154496,37.57975766146542,34.03700084749238,2020
banana_sweet,Table 6-23,sub_region,Busoga,second_season_2020,900.1993221357967,2097.4766283991617,2.3300135612441104,32.45699289854836,33.55400344432962,2020
banana_sweet,Table 6-23,sub_region,Busoga,total_2020,900.1993221357967,5128.50228832618,5.6970741503763715,33.45275216413794,31.038814638113355,2020
banana_sweet,Table 6-23,sub_region,Elgon,first_season_2020,6217.30928819469,22374.114108961505,3.598681209481576,19.389078197761197,19.268077424702376,2020
