crop,table_id,entity_type,sub_region,season_group,area_planted_ha,production_mt,yield_mt_per_ha_production_over_planted,cv_area_planted_pct,cv_production_pct,year
banana_food,Table 6-21,sub_region,Acholi,first_season_2020,1476.7919762400682,5721.391416698425,3.87420266953587,31.429577600712065,28.653093378601387,2020
banana_food,Table 6-21,sub_region,Acholi,second_season_2020,1795.16820215497,5315.996251508262,2.961280310740125,30.484654059690637,31.168658908457154,2020
banana_food,Table 6-21,sub_region,Acholi,total_2020,1795.16820215497,11037.387668206688,6.148386348954432,30.19370094914086,28.14557281103379,2020
banana_food,Table 6-21,sub_region,Ankole,first_season_2020,165341.0944525888,1834935.6548374656,11.097880178624495,6.651427189345038,6.531537833280882,2020
banana_food,Table 6-21,sub_region,Ankole,second_season_2020,155924.06846624165,1455503.4456332931,9.334693867024237,7.41050164817202,7.731562372031703,2020
banana_food,Table 6-21,sub_region,Ankole,total_2020,155924.06846624165,3290439.100470759,21.102829940479367,6.674722647250525,6.635249628773312,2020
banana_food,Table 6-21,sub_region,Bukedi,first_season_2020,14747.923074180577,48626.77882045923,3.2971950406759922,14.501291541916983,21.72458058316935,2020
banana_food,Table 6-21,sub_region,Bukedi,second_season_2020,10615.356125762752,38915.35461648589,3.6659490416945086,12.401985467654988,17.552725651746254,2020
banana_food,Table 6-21,sub_region,Bukedi,total_2020,10615.356125762752,87542.13343694512,8.246744847729252,13.266986084296581,19.297122088559412,2020
banana_food,Table 6-21,sub_region,Bunyoro,first_season_2020,46475.750903384906,422980.31661222305,9.101096989084187,14.345533109252143,18.299675011726084,2020
banana_food,Table 6-21,sub_region,Bunyoro,second_season_2020,50832.76329588961,400765.51559376845,7.884000192178708,16.77749665241051,17.32058529243832,2020
banana_food,Table 6-21,sub_region,Bunyoro,total_2020,50832.76329588961,823745.8322059915,16.205017764056915,14.32235587274021,16.17733138196757,2020
banana_food,Table 6-21,sub_region,Busoga,first_season_2020,36146.32982865225,182366.58978371415,5.045231165880552,9.455940138740731,11.920089951179902,2020
banana_food,Table 6-21,sub_region,Busoga,second_season_2020,32178.059654281045,165309.5738977772,5.137338163762899,9.66191202539544,12.696429469215406,2020
banana_food,Table 6-21,sub_region,Busoga,total_2020,32178.059654281045,347676.1636814914,10.804758503679253,9.458428872692142,11.56409276675046,2020
banana_food,Table 6-21,sub_region,Elgon,first_season_2020,48373.09659056031,363305.84468285315,7.510493854837275,14.112418617036946,19.446905939096563,2020
banana_food,Table 6-21,sub_region,Elgon,second_season_2020,45221.401261365194,297771.3625733476,6.584744264166531,13.88920608802375,16.58209423190758,2020
banana_food,Table 6-21,sub_region,Elgon,total_2020,45221.401261365194,661077.2072562007,14.61868028890539,13.655880265208229,17.692298411986084,2020
banana_food,Table 6-21,sub_region,Karamoja,second_season_2020,366.74369945606765,182.74903830549547,0.4983017801711057,100.0,100.0,2020
banana_food,Table 6-21,sub_region,Karamoja,total_2020,366.74369945606765,182.74903830549547,0.4983017801711057,99.99999999999993,100.0,2020
banana_food,Table 6-21,sub_region,Kigezi,first_season_2020,23841.605820921137,185957.2540428831,7.799695013819272,16.12121552211238,18.2936065536494,2020
