feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37
MAM,0.0077748830930865105,0.4060884015562033,0.008680063720328859,0.08338695523253807,-0.21318814079203388,-0.4090662345042487,0.6276154249985686,0.13146923297392976,0.0533169186341701,-0.15361677846882274,0.10366968132473217,0.15168202653848842,-0.04301761367742089,0.1204359453561296,0.060515760059357195,0.08511605765749622,-0.04673932994515776,-0.1396166061173034,-0.06018847109562354,-0.010561786161748339,0.0004908519721412084,-0.0014567641835510643,0.0006031227703670756,0.0,-0.3019291508866094,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
SON,0.03138065701127381,0.42091002984024917,0.21240820542856484,-0.2996521147325705,-0.0033126470918443326,0.14220401322089038,-0.13208234204412383,0.0017130386595567287,-0.05899520322120117,0.2656173213941506,-0.035514349377881914,-0.2753339514938824,-0.03622297977387284,-0.10953444182841447,-0.20748288001342405,0.244446773237736,0.13241954936134093,0.319354963378061,-0.3401495126109564,0.024701488496649722,0.0011206688478710655,-0.0018769311215992045,0.0022281353331319266,-1.544048545159074e-15,-0.38236015157602876,-1.576592621893711e-15,7.577839882919512e-16,2.6533458403687243e-17,6.221827554160236e-18,6.633668804415922e-17,-2.085694315082524e-18,-3.3134334709792188e-19,-1.1840618645785766e-24,-5.851707746381197e-25,-1.7779731741907083e-34,1.0676255385261338e-39,-2.875266831276819e-16
DJF,0.07880543457772693,0.2155354731566827,-0.5004340193805532,-0.10285915405480989,-0.1611139289716555,-0.1644572136607639,-0.07867590960277127,-0.48090994452322483,-0.011037367942232057,0.02946679365275963,-0.004296786379500803,-0.2160482944175059,0.06388164574763265,-0.12819850084024892,-0.10954882302859498,0.027773765160345,-0.1365480289768832,0.11026404835819971,0.5180576627212704,-0.032276417952126754,-0.004581444444259208,0.006050118202866581,-0.006709890417149126,-1.5560273150270789e-15,-0.12060954836100315,2.2243875436543803e-15,-1.1024426411882664e-15,8.605578141897971e-17,-1.4104716868098726e-17,-6.89080183285273e-17,1.9237007402868185e-18,1.2449177136673457e-18,4.44873782105711e-24,2.198594067722482e-24,2.460545706014902e-34,-4.701626547811901e-39,7.501606348852713e-16
JJA,0.08509876941405883,0.3589844623421311,-0.07882696382000864,0.3611302320091324,-0.002997040747888341,0.11892943047868723,-0.4426844835932592,0.5226064299423722,-0.07940013444119859,0.07665593461291775,0.03621562690758128,0.05097199991640848,-0.04653332071284054,0.06668527523809464,0.20122813910458898,-0.06367616376647837,-0.026403826253552004,-0.09502684220314112,0.32642064385884034,-0.02391001637801274,-0.0006205401845023953,0.0020089691633734296,-0.00296798996964318,-1.6062115104209743e-15,-0.24475876714919476,9.378490821133647e-16,-4.780543321523515e-16,-6.979696107372686e-17,-3.7434499519541766e-17,-8.824538852745585e-17,1.8114572736734e-18,3.7572949798724374e-19,1.3426767514513398e-24,6.635592572716277e-25,1.5966921260122864e-34,-1.216187848647761e-39,6.878475104928387e-16
annual_rainfall,0.05385868264442531,0.4790548055270502,0.005046575411161734,-0.016169925462553525,-0.10342682799877226,-0.07216025128949963,0.02549802886885416,0.13291174694828897,-0.03281770286191456,0.09341744159129224,0.031422897579372645,-0.0880711338745776,-0.036794009235102024,-0.005615730979432534,-0.030162618580692233,0.12889838986078977,0.016380091665608852,0.08437449947679404,-0.007058186510701767,-0.004205886879462344,-0.00015399183090624986,7.704186155495685e-05,-0.0006047326382861352,2.6731097955817753e-15,0.829569759019341,3.1662802124548943e-16,-8.679163587308999e-17,-4.418518778227774e-18,1.821715050465779e-17,-2.5180458108494926e-17,2.448335787733461e-19,7.547221889816168e-20,2.697014045156446e-25,1.332881236420483e-25,-4.865857889510522e-36,-2.649498256265506e-40,-2.5931071844631585e-16
rain_cv,-0.08486138578843153,0.00021139304453471341,0.5632413785260422,-0.27133882461408554,0.09831457256580994,0.195030601166038,0.2584814346253782,0.08560898117745919,0.04909442263917714,0.12652722512676023,0.038660310604049536,0.03801326926518561,0.03378272428427284,-0.16889284029292853,-0.06594612704946959,0.032684854215354935,-0.14405321192426263,-0.04576623956499941,0.631213122374169,-0.047575897141972905,-0.004484022025094969,0.007068345115229751,-0.0060787369555459015,-1.1571181390044632e-15,-1.9012569296705806e-15,2.2673607794461168e-15,-1.098184983594895e-15,-1.1092306537966826e-17,-2.7407441671289105e-17,-1.3732844675448667e-16,3.708547660733415e-18,9.932582081436662e-19,3.549427617010391e-24,1.754149342264367e-24,3.127448673672847e-34,-3.342714324590886e-39,1.1116085463440724e-15
max_monthly,0.03266461860719237,0.3896964332761998,0.19665929125630638,-0.36790820141388225,0.0876295417721587,0.039360902957183905,-0.2609618789641309,-0.3629832845159181,0.023382855959311503,-0.22724426959319244,-0.023796564155187976,0.22462866353657635,-0.018766923371707298,0.15308562697446454,0.2541821572214438,-0.40975639272568076,-0.014014645878185135,-0.30580256561537206,-0.10143633994310727,0.020586808253469084,0.002426342235332555,-0.002250289864221203,0.003030278965187104,5.09155688490392e-16,4.85722573273506e-16,-2.931704415257349e-16,1.3686607236464252e-16,-1.8250084046025288e-17,-3.109807581872817e-18,3.949648604436455e-17,-9.76308902073634e-19,-6.851062132151535e-19,-2.4482404868464137e-24,-1.2099357843282157e-24,-7.544104524735663e-35,2.5292182311533932e-39,-3.228087948300631e-16
min_monthly,0.07836236487662215,0.19388808803688362,-0.38965728571126335,0.05522928691538404,0.1749513596745084,0.7424663992387162,0.39106011613417274,-0.03435137573628784,0.046856214301569964,0.04055549988183067,-0.010212392702490202,0.20010929127284538,0.058458624114784245,-0.04095059689414524,-0.06317691173631532,-0.06691795168508433,0.00978809951017788,-0.050894145998770714,-0.07181282852726928,0.0037241783282559657,0.00019530291627499442,0.0005289548753108731,0.0014313695556816932,1.4069319991787023e-16,4.163336342344337e-17,-6.028388714829636e-16,2.794662018205846e-16,-3.658759310365813e-17,4.2383662356254155e-18,2.3416475743336066e-17,-1.5150109833081755e-20,-3.3631833459956637e-19,-1.2018401598640175e-24,-5.93956926675972e-25,-3.6930209157675984e-35,1.3512129760376042e-39,7.804270617829063e-17
rainy_months,-0.02317538503054853,0.20521478360793102,0.23250913536496792,0.55928458620954,0.5672284666722932,-0.166784511433722,0.05266045442102809,-0.2816949109802974,0.014070617667747445,-0.04867762172696045,0.016757018011899275,-0.042765110025361,0.18300048686408016,-0.10023504166029454,-0.15855160383742145,-0.1844659052241191,0.04436742109680393,0.2221954303107373,0.002977602005245876,0.008073634514770289,-0.0010845766638907892,0.0022382705196402927,-0.0007163152288340515,-4.28243552471382e-16,1.5959455978986625e-16,-2.386583135655861e-16,9.246883426319275e-17,2.9978244121730214e-17,1.1708265102106559e-17,4.9096256820238775e-17,-2.9141400314988023e-19,5.2319199965295715e-20,1.8696370648670371e-25,9.239863132169373e-26,-1.1098188373257928e-35,-2.547697757537002e-40,-6.80592598207823e-17
MAM_tmax,0.2271194665072846,-0.04020534086262603,0.017685094712959412,-0.03448297191308978,-0.09344449331107084,-0.09298273643997594,0.14419196656097844,0.06978076148606518,-0.5574998242323186,0.18250433906365338,-0.40913825416280947,0.10588478888614943,0.0897219555436745,-0.12218444361637702,0.045131177932306185,-0.3231166345621586,-0.08763178568351401,0.13031914577728834,-0.0236078119492239,0.028170960071640265,-0.3395636122115836,-0.08342086528163895,0.22512028606515444,-0.2209967764525392,1.7128659601794993e-14,0.03592333400522183,-0.016449137414517447,-0.001888251220615766,-7.764459100824074e-05,0.0027929669692937386,-8.381769395774653e-05,-4.5039903147208737e-13,-2.127484819366262e-18,-1.358546497978504e-18,-3.402889471083362e-21,-1.99100567032604e-26,0.02744587149229725
