district,year,DJF_rzsm_1,JJA_rzsm_1,MAM_rzsm_1,SON_rzsm_1,DJF_rzsm_1m,JJA_rzsm_1m,MAM_rzsm_1m,SON_rzsm_1m,DJF_rzsm_2,JJA_rzsm_2,MAM_rzsm_2,SON_rzsm_2,DJF_rzsm_3,JJA_rzsm_3,MAM_rzsm_3,SON_rzsm_3,DJF_surface_sm,JJA_surface_sm,MAM_surface_sm,SON_surface_sm,annual_surface_sm,annual_rzsm_1m,annual_rzsm_1,annual_rzsm_2,annual_rzsm_3,surface_sm_cv,rzsm_1m_cv,min_surface_sm,max_surface_sm,min_rzsm_1m,max_rzsm_1m,annual_surface_nobs,annual_rzsm_1m_nobs,soil_moisture_index
Iganga,2020,0.23895174264907837,0.22691348691781363,0.26828086376190186,0.2755199174086253,0.2526457955439885,0.2377170224984487,0.2607064147790273,0.2638327380021413,0.2463201383749644,0.23077853520711264,0.264227161804835,0.2712685863176982,0.25809097786744434,0.24298685789108276,0.2576836446921031,0.25816694895426434,0.23305849730968475,0.2262417326370875,0.27081061402956647,0.2772367298603058,0.2518368934591611,0.25372549270590145,0.2524165026843548,0.25314860542615253,0.25423210735122365,0.0967098894306033,0.05649565576230492,0.2137088030576706,0.27982261776924133,0.22818532586097717,0.27336370944976807,30.333333333333332,30.5,0.25372549270590145
Iganga,2021,0.23108749588330588,0.2174424727757772,0.2563556184371312,0.2558887004852295,0.2423305114110311,0.229507178068161,0.2480108638604482,0.2471571813027064,0.23645534118016562,0.22221899032592773,0.25167275965213776,0.2526158293088277,0.24714193244775137,0.23516206443309784,0.2447891334692637,0.242972602446874,0.22638337314128876,0.2160934954881668,0.2581528176863988,0.2589669426282247,0.23989915723601976,0.24175143366058668,0.24019357189536095,0.2407407301167647,0.24251643319924673,0.1033641470617048,0.059689282284274975,0.20550411939620972,0.2821629047393799,0.2169221043586731,0.2662050724029541,30.333333333333332,30.416666666666668,0.24175143366058668
Iganga,2022,0.2213514745235443,0.22907093664010367,0.25396745403607685,0.2671954135100047,0.22829192876815796,0.2356554220120112,0.24054489036401114,0.2586389978726705,0.22234114507834116,0.23162823418776193,0.2485042760769526,0.2642941474914551,0.23242405553658804,0.23876644174257913,0.23432810604572296,0.2543853521347046,0.22365936636924744,0.22799772024154663,0.25561076899369556,0.268621822198232,0.2439724194506804,0.2407828097542127,0.2428963196774324,0.2416919507086277,0.23997598886489868,0.12541527339943404,0.08922779917851768,0.1871432662010193,0.27795273065567017,0.20593199133872986,0.2657493054866791,30.166666666666668,30.416666666666668,0.2407828097542127
Iganga,2023,0.21045570572217306,0.22146361569563547,0.2628873387972514,0.2715146740277608,0.23399960498015085,0.23345914979775748,0.2445370356241862,0.2542930493752162,0.224170391758283,0.22692951560020447,0.25337035953998566,0.2627751777569453,0.2428381939729055,0.23872323830922446,0.23706198235352835,0.24718171854813895,0.20159809788068137,0.21852333347002664,0.26762189467748004,0.2777854601542155,0.2413821965456009,0.24157220994432768,0.24158033356070518,0.2418113611638546,0.2414512832959493,0.174132690678863,0.104159531049993,0.16181416809558868,0.30264216661453247,0.1952698528766632,0.27662214636802673,29.916666666666668,30.416666666666668,0.24157220994432768
Iganga,2024,0.23589763045310974,0.1981468548377355,0.25923215846220654,0.25017451246579486,0.24766947329044342,0.2112291008234024,0.2553292016188304,0.2382135639588038,0.24287834266821542,0.20134120682875314,0.2573537826538086,0.24541547894477844,0.2520269999901454,0.2183534155289332,0.25366643567879993,0.2326191117366155,0.23058811326821646,0.19892660776774088,0.25704000890254974,0.2527692566315333,0.2348309966425101,0.23811033492287,0.23586278905471167,0.23674720277388892,0.2391664907336235,0.12362942408804961,0.08414735567196499,0.18238882720470428,0.2773350775241852,0.19918736815452576,0.2619594633579254,30.0,30.5,0.23811033492287
Jinja,2020,0.25639739632606506,0.2467398246129354,0.2776181201140086,0.28717974821726483,0.2684791584809621,0.2550887813170751,0.2709178825219472,0.2764051655928294,0.2629934350649516,0.24997384349505106,0.2738279402256012,0.2828077971935272,0.27323563893636066,0.2590377430121104,0.2683461507161458,0.2714080810546875,0.2512357880671819,0.24582849939664206,0.2798670828342438,0.28933337330818176,0.2665661859015624,0.2677227469782035,0.2669837723175685,0.26740075399478275,0.2680069034298261,0.0786435212929272,0.04801794452377329,0.2365059107542038,0.29651156067848206,0.2478557974100113,0.2879510819911957,0.0,0.0,0.2677227469782035
Jinja,2021,0.2545284330844879,0.2434448003768921,0.2800972064336141,0.2787420451641083,0.26463117202123004,0.2543028990427653,0.27231932679812115,0.27064381043116253,0.2593989670276642,0.24784267942110697,0.27583712339401245,0.275818665822347,0.2689310510953267,0.259342685341835,0.2692641119162242,0.2667066653569539,0.25059492886066437,0.24190261960029602,0.2818476955095927,0.2809124290943146,0.26381441826621693,0.26547430207331973,0.2642031212647756,0.26472435891628265,0.26606112842758495,0.08039373495179694,0.04715218842826786,0.23529238998889923,0.295535147190094,0.2440708875656128,0.28706666827201843,0.0,0.0,0.26547430207331973
Jinja,2022,0.24959243337313333,0.24821837743123373,0.27055556575457257,0.2754431962966919,0.25339556237061817,0.25529679159323376,0.2600352813800176,0.2688692510128021,0.2493849645058314,0.2513764450947444,0.26586950321992237,0.27272796630859375,0.2560347119967143,0.2584367096424103,0.2553647706906001,0.2658442258834839,0.2517565091451009,0.2472910682360331,0.27201710641384125,0.2769314448038737,0.26199903214971226,0.2593992215891679,0.2609523932139079,0.259839719782273,0.2589201045533021,0.09264825033620244,0.06056365655914024,0.22313541173934937,0.29247939586639404,0.2347944676876068,0.281436026096344,0.0,0.0,0.2593992215891679
Jinja,2023,0.24544700980186462,0.24797101318836212,0.2807140549023946,0.2854774296283722,0.2616412540276845,0.2583034336566925,0.2671593377987544,0.2711963951587677,0.25599504510561627,0.253012090921402,0.27356480558713275,0.2779415746529897,0.26716339588165283,0.26267116765181225,0.2616974910100301,0.2654436230659485,0.2379848708709081,0.2446652501821518,0.2837485472361247,0.29121168454488117,0.2644025882085164,0.2645751051604748,0.26490237688024837,0.26512837906678516,0.2642439194023609,0.11768062608168489,0.0720668770689573,0.21271277964115143,0.3145096004009247,0.2336432933807373,0.29210954904556274,0.0,0.0,0.2645751051604748
Jinja,2024,0.2562091449896495,0.23653925955295563,0.26858092347780865,0.27770092089970905,0.26661903659502667,0.24384130537509918,0.2657628158728282,0.266761710246404,0.26175835231939953,0.2383896013100942,0.2671107351779938,0.2731838524341583,0.27078436811765033,0.24778417746225992,0.26461918155352276,0.2617274572451909,0.2536213795344035,0.2372128168741862,0.2675829033056895,0.279507448275884,0.2594811369975408,0.2607462170223395,0.2597575622300307,0.26011063531041145,0.261228796094656,0.08167257775043955,0.051975125137767954,0.22845621407032013,0.2931336760520935,0.23587992787361145,0.2806716561317444,0.0,0.0,0.2607462170223395
