crop,table_id,entity_type,sub_region,season_group,area_planted_ha,area_harvested_ha,production_mt,yield_mt_per_ha_production_over_harvested,yield_mt_per_ha_production_over_planted,cv_area_planted_pct,cv_area_harvested_pct,cv_production_pct,year
sorghum,Table 6-5,sub_region,Acholi,first_season_2020,53700.54900578078,1269.182769210456,905.8147950309092,0.7136992535711828,0.016867887047735765,16.18051337229043,47.457154947191505,32.2584217737696,2020
sorghum,Table 6-5,sub_region,Acholi,second_season_2020,84984.94790626831,55247.626272899026,58170.336910318314,1.0529020128934117,0.684478114577132,16.659338487503128,20.34983141362077,20.041784279774983,2020
sorghum,Table 6-5,sub_region,Acholi,total_2020,138685.49691204907,56516.80904210948,59076.15170534922,1.0452846278234291,0.42597209528559327,16.02247943110955,20.01331913973991,19.751334361184416,2020
sorghum,Table 6-5,sub_region,Ankole,first_season_2020,3842.9955489552776,3484.298342393218,2302.260820448568,0.660753068253978,0.5990797520112768,31.47285185561868,34.061378145632574,38.14556727812998,2020
sorghum,Table 6-5,sub_region,Ankole,second_season_2020,2458.7296497057914,1964.6763297257003,3572.502107230296,1.8183667473252827,1.452986955136681,38.36697362095664,45.393019044784175,41.116557813145924,2020
sorghum,Table 6-5,sub_region,Ankole,total_2020,6301.725198661069,5448.9746721189185,5874.762927678865,1.0781409863654903,0.9322467645728314,32.50047924545656,36.38346487482259,35.68603052736245,2020
sorghum,Table 6-5,sub_region,Bukedi,first_season_2020,7423.576513205711,6076.487071074303,3593.579905663221,0.5913910230747661,0.4840766306201121,22.856327950437745,22.761749212118076,28.27803191064603,2020
sorghum,Table 6-5,sub_region,Bukedi,second_season_2020,1923.2063202854781,964.2635454979408,849.0733658508015,0.8805407710527358,0.44148844400883946,35.90678366068724,53.846660970630445,37.82543921171106,2020
sorghum,Table 6-5,sub_region,Bukedi,total_2020,9346.78283349119,7040.750616572243,4442.653271514022,0.6309914259790822,0.47531362936937005,21.87622349086501,23.94222195403252,28.05989871994065,2020
sorghum,Table 6-5,sub_region,Bunyoro,first_season_2020,1912.326466726449,1227.2067566789472,1703.4912879953793,1.3881045542850072,0.8907952264612239,65.42863594628373,92.43509642732519,97.75039526491923,2020
sorghum,Table 6-5,sub_region,Bunyoro,second_season_2020,3963.5132956255025,2104.143248313629,1876.9198381194296,0.8920114348791089,0.4735495249103796,57.55080292103661,62.31052832026651,52.210253127157436,2020
sorghum,Table 6-5,sub_region,Bunyoro,total_2020,5875.839762351951,3331.350004992576,3580.411126114809,1.0747628201026533,0.609344582378751,51.37553591274968,51.76986362415964,53.04441644885747,2020
sorghum,Table 6-5,sub_region,Busoga,first_season_2020,629.2757655201128,528.3828665352905,318.98368039768457,0.6036980012037914,0.5069060305127693,57.78267239963417,66.76705956170436,63.2712193683736,2020
sorghum,Table 6-5,sub_region,Busoga,second_season_2020,1822.8314211722168,1375.3583212824715,902.3842622634945,0.6561084833674864,0.4950453737972072,51.40749294518765,53.09659343720189,50.27989196658675,2020
sorghum,Table 6-5,sub_region,Busoga,total_2020,2452.1071866923294,1903.741187817762,1221.367942661179,0.6415619678120322,0.4980891330075558,47.895731626410985,50.87148243210506,50.91326082108647,2020
sorghum,Table 6-5,sub_region,Elgon,first_season_2020,295.7452726083878,62.84710135160434,149.00635963149452,2.370934481096649,0.5038334453068396,81.02468894535247,99.99999999999999,76.82049955379209,2020
