crop,table_id,entity_type,sub_region,season_group,area_planted_ha,area_harvested_ha,production_mt,yield_mt_per_ha_production_over_harvested,yield_mt_per_ha_production_over_planted,cv_area_planted_pct,cv_area_harvested_pct,cv_production_pct,year
sweet_potatoes,Table 6-13,sub_region,Acholi,first_season_2020,12821.508783342924,3026.130903157173,22274.5987315501,7.360751879011887,1.7372837399985381,9.315706041535202,13.477143439272796,9.537826708613343,2020
sweet_potatoes,Table 6-13,sub_region,Acholi,second_season_2020,11382.383031721018,5656.103373724676,83306.30074924084,14.728567574673178,7.318880459133953,11.578422114464189,14.626769930820274,12.164077876108378,2020
sweet_potatoes,Table 6-13,sub_region,Acholi,total_2020,24203.891815063944,8682.234276881849,105580.89948079093,12.160567903807983,4.362145570948215,9.348318239962612,11.549213017893484,10.9698108181519,2020
sweet_potatoes,Table 6-13,sub_region,Ankole,first_season_2020,6150.545949162995,4033.5667408633326,17464.183299656648,4.329712242698299,2.8394525370602723,15.500458883056734,17.281653648438066,18.766399528317226,2020
sweet_potatoes,Table 6-13,sub_region,Ankole,second_season_2020,7094.444774779529,3197.8325035774415,22661.480318702037,7.08651259668868,3.1942570614211703,15.44793855602328,24.347711374335145,16.602723657308246,2020
sweet_potatoes,Table 6-13,sub_region,Ankole,total_2020,13244.990723942525,7231.399244440774,40125.66361835868,5.548810439308239,3.0294972986145523,14.108042577251231,17.158684458285894,15.319748357761318,2020
sweet_potatoes,Table 6-13,sub_region,Bukedi,first_season_2020,17988.225638238728,8766.147788439632,22989.813830121362,2.622567447521157,1.2780478904628836,12.373306421044065,14.410178086730093,15.158253512713319,2020
sweet_potatoes,Table 6-13,sub_region,Bukedi,second_season_2020,20749.039117804215,8788.775758270385,55683.53284837418,6.335755329287477,2.68366802588914,11.608245776778855,14.11233337755728,12.34311145220501,2020
sweet_potatoes,Table 6-13,sub_region,Bukedi,total_2020,38737.26475604295,17554.923546710015,78673.34667849555,4.481554503450959,2.030947388101857,10.692811883164193,11.08581069739185,10.09947238323949,2020
sweet_potatoes,Table 6-13,sub_region,Bunyoro,first_season_2020,7938.402641078389,5204.417953521999,10564.148216414826,2.0298423975087787,1.330764978051018,23.63222686315975,31.614600306710717,26.30199026716345,2020
sweet_potatoes,Table 6-13,sub_region,Bunyoro,second_season_2020,11248.260702821539,3773.6772318106755,30801.44143530896,8.162182280896847,2.738329262548356,16.74775782084161,25.359023097759597,20.46677151862649,2020
sweet_potatoes,Table 6-13,sub_region,Bunyoro,total_2020,19186.663343899927,8978.095185332675,41365.589651723785,4.607390409415783,2.155955358693218,14.798755660074416,21.308964718318258,17.75501656017055,2020
sweet_potatoes,Table 6-13,sub_region,Busoga,first_season_2020,37897.693161184674,26343.08261701748,89864.6100836966,3.4113171715767456,2.3712422205090085,10.958173422372608,11.80987887462316,12.496308940014268,2020
sweet_potatoes,Table 6-13,sub_region,Busoga,second_season_2020,46355.76966633691,25855.940734523003,104625.47869013222,4.046477355605773,2.2570109275115797,16.29512070629807,22.907725075277057,18.91319898189994,2020
sweet_potatoes,Table 6-13,sub_region,Busoga,total_2020,84253.46282752158,52199.02335154048,194490.08877382881,3.725933480862513,2.308392821455621,13.079668568372565,14.52559894173439,13.28722048313745,2020
sweet_potatoes,Table 6-13,sub_region,Elgon,first_season_2020,1592.976553297565,1473.0155849024163,4641.848968500194,3.151255842827831,2.9139468241960405,31.26535429247999,33.81225869230999,31.877202613401245,2020
sweet_potatoes,Table 6-13,sub_region,Elgon,second_season_2020,6178.5122313353295,2881.6022880496007,10256.134704548002,3.5591777349294857,1.6599683419792142,20.890067720237777,22.877823243899424,19.91315509466664,2020
sweet_potatoes,Table 6-13,sub_region,Elgon,total_2020,7771.488784632895,4354.617872952017,14897.983673048195,3.4211919639572823,1.9170051049300894,20.699649411738775,22.228922956258785,20.360088880113278,2020
sweet_potatoes,Table 6-13,sub_region,Karamoja,first_season_2020,1470.598324509469,,,,,61.79016029838582,,,2020
sweet_potatoes,Table 6-13,sub_region,Karamoja,second_season_2020,248.43929592894568,,,,,100.0,,,2020
sweet_potatoes,Table 6-13,sub_region,Karamoja,total_2020,1719.0376204384147,0.0,0.0,,,57.6802713657235,,,2020
sweet_potatoes,Table 6-13,sub_region,Kigezi,first_season_2020,11545.908492895353,8225.466692072767,30275.748121257828,3.68073317352751,2.6222057917649075,14.929221067572024,17.01315203932117,15.105147354256912,2020
sweet_potatoes,Table 6-13,sub_region,Kigezi,second_season_2020,11697.511110711192,4312.497137069374,31513.43599491156,7.307468270304063,2.694029156856735,12.307644219242816,13.998513638546434,21.339815903645732,2020
sweet_potatoes,Table 6-13,sub_region,Kigezi,total_2020,23243.419603606544,12537.96382914214,61789.18411616939,4.928167360999403,2.6583517042639424,12.656171889047998,13.978990056573599,17.00211413550438,2020
sweet_potatoes,Table 6-13,sub_region,Lango,first_season_2020,13382.639796042986,8735.874150702206,40422.2371446109,4.627154243214652,3.0204980303335263,16.844753488658355,18.950486285089312,19.83491520010831,2020
sweet_potatoes,Table 6-13,sub_region,Lango,second_season_2020,7706.0853122741155,3906.425726897119,54867.14156928821,14.045356396131785,7.119975882163775,14.835125793713221,20.06352911939188,14.182772648364658,2020
sweet_potatoes,Table 6-13,sub_region,Lango,total_2020,21088.7251083171,12642.299877599326,95289.37871389912,7.537345232787962,4.518498781906845,13.84399480019759,15.438957522362031,13.44280206617304,2020
sweet_potatoes,Table 6-13,sub_region,North Buganda,first_season_2020,47781.9840764895,32168.524358578725,86453.7316356793,2.687525566046792,1.8093374167402507,11.797288764442266,13.568840499459899,13.831600761880978,2020
sweet_potatoes,Table 6-13,sub_region,North Buganda,second_season_2020,49320.79379096321,14476.693016985417,100626.57126917744,6.9509363188894655,2.040246385645454,9.296620586620797,15.23992031410271,14.648613068790278,2020
sweet_potatoes,Table 6-13,sub_region,North Buganda,total_2020,97102.7778674527,46645.21737556414,187080.30290485674,4.010707065605011,1.92662153455821,9.938819936828033,12.539184690617796,11.959181712694836,2020
sweet_potatoes,Table 6-13,sub_region,South Buganda,first_season_2020,15180.040542427301,9898.155684725732,36291.95780810079,3.6665373796963476,2.3907681739496645,27.182423355016226,36.31815801376093,33.81013582349148,2020
sweet_potatoes,Table 6-13,sub_region,South Buganda,second_season_2020,11844.73561213915,5742.39099936856,34830.6001227566,6.065522206096139,2.940597516339685,27.42461290851909,34.74660867056167,25.872117275365085,2020
sweet_potatoes,Table 6-13,sub_region,South Buganda,total_2020,27024.77615456645,15640.546684094294,71122.5579308574,4.547319180549215,2.631753821903151,25.27232272853286,33.47057766984988,28.72810882426983,2020
sweet_potatoes,Table 6-13,sub_region,Teso,first_season_2020,18668.22629033616,7331.138940585537,17535.669759844714,2.3919434486183864,0.939332397578782,16.21128380405782,18.26002232870298,15.714758139026966,2020
sweet_potatoes,Table 6-13,sub_region,Teso,second_season_2020,41468.65281475067,18821.257510861615,93853.27107460397,4.986556877001545,2.263234146859474,11.284870342701694,11.687268534515281,11.557844832772481,2020
