crop,table_id,entity_type,sub_region,season_group,area_planted_ha,production_mt,yield_mt_per_ha_production_over_planted,cv_area_planted_pct,cv_production_pct,year
coffee_arabica,Table 6-31,sub_region,Acholi,first_season_2020,40.48553630083227,0.0,0.0,99.9999999999999,,2020
coffee_arabica,Table 6-31,sub_region,Acholi,second_season_2020,40.48553630083227,0.0,0.0,100.00000000000007,,2020
coffee_arabica,Table 6-31,sub_region,Acholi,total_2020,40.48553630083227,0.0,0.0,100.00000000000007,,2020
coffee_arabica,Table 6-31,sub_region,Ankole,first_season_2020,4502.884068038834,1154.148983858853,0.25631327976017065,51.227495606484695,43.33037369559084,2020
coffee_arabica,Table 6-31,sub_region,Ankole,second_season_2020,4759.854551953816,2286.7906263802297,0.4804328790764315,47.433046395509145,73.32468732402336,2020
coffee_arabica,Table 6-31,sub_region,Ankole,total_2020,4759.854551953816,3440.939610239083,0.7229085621590375,48.96892872046521,60.410620812450475,2020
coffee_arabica,Table 6-31,sub_region,Bukedi,first_season_2020,559.8574750708992,103.34876944633018,0.18459835591771334,73.75981486137056,70.19219930327213,2020
coffee_arabica,Table 6-31,sub_region,Bukedi,second_season_2020,559.8574750708992,133.60136733620539,0.23863460485061197,73.75981486137056,65.32216139817973,2020
coffee_arabica,Table 6-31,sub_region,Bukedi,total_2020,559.8574750708992,236.95013678253557,0.42323296076832534,73.75981486137057,65.53792594452655,2020
coffee_arabica,Table 6-31,sub_region,Bunyoro,first_season_2020,4985.406172415761,29.170171514132434,0.00585111232772385,33.56734499969314,100.00000000000004,2020
coffee_arabica,Table 6-31,sub_region,Bunyoro,second_season_2020,4991.704167299487,2901.263474310045,0.5812170307119039,33.14839134965419,36.76862234909069,2020
coffee_arabica,Table 6-31,sub_region,Bunyoro,total_2020,4991.704167299487,2930.4336458241773,0.5870607607360558,33.17237249663585,36.526560486133306,2020
coffee_arabica,Table 6-31,sub_region,Busoga,first_season_2020,953.4573808785203,902.7846659635978,0.94685371792053,49.648185266145376,70.01887636798199,2020
coffee_arabica,Table 6-31,sub_region,Busoga,second_season_2020,849.5730072820784,532.1105700923207,0.6263270672812788,48.329818138385974,49.165047958153146,2020
coffee_arabica,Table 6-31,sub_region,Busoga,total_2020,849.5730072820784,1434.8952360559185,1.6889604822149196,46.39388386923182,53.272073684247204,2020
coffee_arabica,Table 6-31,sub_region,Elgon,first_season_2020,31541.120064084786,3589.4141234830026,0.1138010988890085,22.36602185859535,48.288100786981474,2020
coffee_arabica,Table 6-31,sub_region,Elgon,second_season_2020,26960.660530275552,6084.241970403889,0.22567110192168965,20.16822272104019,26.574143280495722,2020
coffee_arabica,Table 6-31,sub_region,Elgon,total_2020,26960.660530275552,9673.656093886892,0.3588063461213731,20.657382205395876,32.087430316592204,2020
coffee_arabica,Table 6-31,sub_region,Karamoja,total_2020,0.0,0.0,,,,2020
coffee_arabica,Table 6-31,sub_region,Kigezi,first_season_2020,879.9922206310971,311.14336868114714,0.35357513553700154,49.27304967774218,57.76106448497794,2020
coffee_arabica,Table 6-31,sub_region,Kigezi,second_season_2020,878.858526565283,404.2755642533374,0.4600007305308964,44.76523900879747,53.569512712873426,2020
coffee_arabica,Table 6-31,sub_region,Kigezi,total_2020,878.858526565283,715.4189329344845,0.8140319645420678,46.93206924129745,54.771440382422085,2020
coffee_arabica,Table 6-31,sub_region,Lango,first_season_2020,2906.134914648989,0.0,0.0,88.25155616741708,,2020
coffee_arabica,Table 6-31,sub_region,Lango,second_season_2020,781.3467023164188,0.0,0.0,70.00490804100447,,2020
coffee_arabica,Table 6-31,sub_region,Lango,total_2020,781.3467023164188,0.0,0.0,82.43002222582008,,2020
coffee_arabica,Table 6-31,sub_region,North Buganda,first_season_2020,363.8518775427482,146.32818831896827,0.4021641699561561,65.68654380807817,72.46731732527451,2020
coffee_arabica,Table 6-31,sub_region,North Buganda,second_season_2020,421.88156274058946,282.374912533138,0.6693227139361085,57.880546279011014,51.43047014042352,2020
coffee_arabica,Table 6-31,sub_region,North Buganda,total_2020,421.88156274058946,428.7031008521063,1.0161693202879105,61.053764594950145,50.82133497931288,2020
coffee_arabica,Table 6-31,sub_region,South Buganda,total_2020,0.0,0.0,,,,2020
coffee_arabica,Table 6-31,sub_region,Teso,total_2020,0.0,0.0,,,,2020
