model,feature_space,rmse,r2,n_components
SVR (raw),raw,0.2627936670460063,0.3241185909174702,38
SVR (PCA),PCA,0.27174476128157765,0.2772916516282484,6
Random Forest (raw),raw,0.2961364544184936,0.14172896675338675,38
Random Forest (PCA),PCA,0.3109635134847179,0.053633017788498605,6
Ridge (PCA),PCA,0.38152423330159246,-0.424573847061279,6
OLS (PCA),PCA,0.3899659371916518,-0.4883122565487812,6
Ridge (raw),raw,0.401560590653768,-0.5781303761054781,38
OLS (raw),raw,0.7246590381806597,-4.139349313825529,38
