crop,table_id,entity_type,sub_region,season_group,area_planted_ha,area_harvested_ha,production_mt,yield_mt_per_ha_production_over_harvested,yield_mt_per_ha_production_over_planted,cv_area_planted_pct,cv_area_harvested_pct,cv_production_pct,year
beans,Table 6-9,sub_region,Acholi,first_season_2020,22327.76975470912,16428.789733803573,14080.89016425452,0.8570862730857126,0.6306447226456525,21.786650903736906,19.298945705759856,24.434028351143695,2020
beans,Table 6-9,sub_region,Acholi,second_season_2020,14288.101607569732,10137.338452973163,8912.209618302692,0.879146894389113,0.6237504367676856,30.90510484445952,35.202092009781225,34.55364940435578,2020
beans,Table 6-9,sub_region,Acholi,total_2020,36615.87136227885,26566.128186776736,22993.099782557212,0.8655043603230825,0.6279544614700711,18.029829421952392,18.076772755459654,22.42154931450594,2020
beans,Table 6-9,sub_region,Ankole,first_season_2020,54452.040043899164,48291.76099210168,34321.14573905851,0.7107039593083359,0.6303004572719195,8.460903534537016,8.243617313528219,9.564089570366017,2020
beans,Table 6-9,sub_region,Ankole,second_season_2020,64474.966253070634,36344.000043985616,48743.44195123275,1.3411688832335629,0.7560056993269281,7.958436674417017,11.57136772640079,8.669024528679175,2020
beans,Table 6-9,sub_region,Ankole,total_2020,118927.0062969698,84635.7610360873,83064.58769029126,0.9814360581560068,0.6984501693658431,7.705479199031716,9.058914284082869,8.307076213075886,2020
beans,Table 6-9,sub_region,Bukedi,first_season_2020,7898.659006215235,7494.607429006806,3879.0718263848757,0.5175817230094645,0.4911051133277866,22.41427170874125,23.519683720659014,26.687005541874143,2020
beans,Table 6-9,sub_region,Bukedi,second_season_2020,6009.0445929110965,3145.2194282781857,2219.4193550697237,0.7056484947012804,0.3693464611142985,21.266998609749425,25.94437994479266,24.86723903561505,2020
beans,Table 6-9,sub_region,Bukedi,total_2020,13907.703599126333,10639.826857284992,6098.491181454599,0.5731757916040728,0.43849735062211853,19.037027503668604,21.969609606789945,24.077833480924337,2020
beans,Table 6-9,sub_region,Bunyoro,first_season_2020,67785.82438098382,64451.66463069189,53243.179484622946,0.826094714383351,0.78546185682385,10.920167078695178,11.392450160066206,12.003582031674116,2020
beans,Table 6-9,sub_region,Bunyoro,second_season_2020,79168.8194210672,48055.48066874676,57691.16702285287,1.200511704804833,0.7287107152124713,12.654467348002651,14.188196835238642,14.201341401403822,2020
beans,Table 6-9,sub_region,Bunyoro,total_2020,146954.64380205102,112507.14529943865,110934.34650747581,0.9860204541873601,0.75488833586576,11.250881723357795,11.787124696482964,11.81311534187088,2020
beans,Table 6-9,sub_region,Busoga,first_season_2020,24839.352489050936,21396.78946810155,13696.526073344097,0.6401206168693183,0.5514043121446688,16.598182013275505,17.402636543136794,28.844351885079988,2020
