spatial_unit,year,season,crop,yield_tons_ha,yield_tons_ha_planted,harvested_fraction,area_planted_ha,area_harvested_ha,production_mt,cv_area_planted_pct,cv_area_harvested_pct,cv_production_pct,rain_total_mm,rain_mean_daily_mm,rainy_days_1mm,rainy_days_10mm,heavy_rain_days_20mm,maximum_1day_rainfall_mm,maximum_5day_rainfall_mm,longest_dry_spell_days,wet_day_rainfall_cv,rainfall_onset_date,rainfall_cessation_date,onset_day_of_year,cessation_day_of_year,season_length_days,temperature_mean_c,temperature_maximum_c,temperature_minimum_c,temperature_range_c,growing_degree_days,heat_days_32c,extreme_heat_days_35c,cold_days_10c,target_source,target_source_type,target_geographic_level,predictor_geographic_level,target_definition,target_year,is_proxy,is_synthetic,is_geographically_assigned,season_definition,yield_consistency_ok,rainfall_source,temperature_source,soil_source,soil_source_version,soil_depth_cm,soil_extraction_date,soil_quality_flag,data_version,processing_version
Bunyoro,2020,first_season,maize,2.3426553850030096,2.269077260238554,0.9685919981080099,175979.4170716595,170452.2552073215,399310.89354733896,15.251338188788091,15.331678571489354,15.499039803341756,545.8108597057206,3.984020873764384,99,11,2,21.4175010408674,52.071894373212544,5,0.7813416729770315,2020-03-07,2020-07-15,67,197,131,23.476152241918665,32.77142857142857,16.447142857142858,8.534306569343066,1846.2328571428573,2,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Bunyoro,2020,second_season,maize,3.0549264654046246,1.8157240029157948,0.594359315511479,157769.22991330645,93771.61150004598,286465.37767513114,14.894061671122882,18.231437997273936,17.07727225114018,603.9577806677137,4.910225859087103,90,14,1,20.156745229448592,52.483161176954,7,0.6928009120892608,2020-08-15,2020-12-09,228,344,117,23.449065040650403,30.888571428571428,17.274285714285714,8.434065040650406,1654.235,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Busoga,2018,annual,maize,1.3,1.1116343797935768,0.27340653696390027,288146.0,78781.0,320313.0,,,18.8,1571.3936869088561,4.305188183311935,215,51,5,23.5648943901062,81.67446064949036,14,0.7218777809247509,2018-02-18,2018-11-21,49,325,277,23.132663013698632,35.114,15.907999999999998,8.625095890410957,4793.422,26,1,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Busoga,2020,first_season,maize,1.5222384603844508,1.4363899819841985,0.9436037909733468,124578.5300679457,117552.77324600064,178943.35255991446,11.36669466268392,12.294182115478415,11.292854602544352,818.0559137925505,5.971211049580661,105,31,3,22.69278450012207,77.68881459236145,4,0.6876691554100404,2020-03-07,2020-07-15,67,197,131,22.442240875912407,29.478,17.176,6.699284671532851,1704.5870000000002,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Busoga,2020,second_season,maize,1.7237131684916815,1.2163794610072725,0.7056739388210704,104778.51309650268,73939.46604062416,127450.43128546736,11.190791135109194,12.872859677786522,13.081074447411623,1000.9075124144554,8.137459450524027,104,29,9,57.45461845397949,155.53175468444826,4,1.0103692734921026,2020-08-15,2020-12-11,228,346,119,22.509902439024398,28.4,15.418,7.904422764227643,1538.7179999999998,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Elgon,2018,annual,maize,3.0,1.2871629786452443,0.07041559119515095,103443.0,7284.0,133148.0,,,60.9,1827.6763648165197,5.007332506346629,208,69,18,41.79936528205872,90.03196603059769,22,0.8422130793858668,2018-02-18,2018-11-20,49,324,276,20.104205479452055,32.6975,11.7075,10.415732876712328,3688.035,6,0,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Elgon,2020,first_season,maize,2.591624259545572,2.083800742577065,0.8040520283377994,77029.08377880692,61935.39105335199,160513.2619783088,17.732660565732,17.573481259724826,21.831516561483628,984.5339423716068,7.18637914139859,100,41,7,40.86078214645386,90.84835368394852,10,0.7188793969488054,2020-03-06,2020-03-31,66,91,26,19.673868613138684,28.00625,13.455,8.664963503649634,1325.32,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Elgon,2020,second_season,maize,3.423349924580549,1.175152687761825,0.34327565503132507,13874.652805084006,4762.830529997424,16304.835535656615,28.232076906195186,22.691492693937057,31.38085242054418,1009.4460826069117,8.206878720381395,94,38,13,44.08406019210816,123.06542038917542,4,0.8668108479921869,2020-08-15,2020-12-11,228,346,119,19.172083333333333,25.86625,11.655,9.022296747967475,1128.1662500000002,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Karamoja,2018,annual,maize,1.0,1.2410618849286794,0.03689506468615237,108524.0,4004.0,134685.0,,,70.2,1340.7205920768718,3.6732071015804704,154,52,11,39.4178341456822,85.77205644335066,50,0.8444844864765217,2018-03-02,2018-12-24,61,358,298,23.599027397260276,35.73,15.677142857142858,11.784590998043054,4963.6449999999995,92,2,0,AAS2018_Annex4,official_aggregate,sub_region,sub_region,published_official_subregion_yield_over_harvested,2018,False,False,False,published_annual_aggregate_total_and_s2_harvested_area,False,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Karamoja,2020,first_season,maize,1.2175480596073383,0.7817810491175016,0.6420946121581662,28988.393844896626,18613.29150292707,22662.57695229461,18.944210044857705,24.146308958298484,27.302096025044857,702.7080106032747,5.12925555184872,98,23,3,21.99835538864136,67.63682419913155,11,0.6845387121885701,2020-03-07,2020-03-30,67,90,24,22.834567257559957,34.2,15.838571428571427,9.809426485922835,1758.3357142857144,12,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
