spatial_unit,year,season,crop,yield_tons_ha,yield_tons_ha_planted,harvested_fraction,area_planted_ha,area_harvested_ha,production_mt,cv_area_planted_pct,cv_area_harvested_pct,cv_production_pct,rain_total_mm,rain_mean_daily_mm,rainy_days_1mm,rainy_days_10mm,heavy_rain_days_20mm,maximum_1day_rainfall_mm,maximum_5day_rainfall_mm,longest_dry_spell_days,wet_day_rainfall_cv,rainfall_onset_date,rainfall_cessation_date,onset_day_of_year,cessation_day_of_year,season_length_days,temperature_mean_c,temperature_maximum_c,temperature_minimum_c,temperature_range_c,growing_degree_days,heat_days_32c,extreme_heat_days_35c,cold_days_10c,target_source,target_source_type,target_geographic_level,predictor_geographic_level,target_definition,target_year,target_season,is_proxy,is_synthetic,is_geographically_assigned,season_definition,yield_consistency_ok,rainfall_source,temperature_source,soil_source,soil_source_version,soil_depth_cm,soil_extraction_date,soil_quality_flag,data_version,processing_version
Acholi,2020,first_season,groundnuts,0.579730411471064,0.4699801629195586,0.8106874395755528,41311.86339982357,33491.00876369796,19415.75629115963,19.58088345501453,20.71998715096573,24.83473730660469,651.0392740555108,4.752111489456283,106,13,0,17.036237239837646,44.716405779123306,8,0.5628318110874938,2020-03-07,2020-04-01,67,92,26,23.905652372262775,36.575,16.9,9.103786496350367,1905.074375,18,2,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,first_season,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Acholi,2020,first_season,maize,1.6268858066002263,1.4161667964861673,0.8704770738922312,47942.14032561288,41732.53402677024,67894.06728161349,16.589763354664175,17.47189964546245,20.00325538597934,651.0392740555108,4.752111489456283,106,13,0,17.036237239837646,44.716405779123306,8,0.5628318110874938,2020-03-07,2020-04-01,67,92,26,23.905652372262775,36.575,16.9,9.103786496350367,1905.074375,18,2,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,first_season,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Acholi,2020,first_season,millet,0.2602112569707439,0.2259111580158064,0.8681836468020524,44337.8584152843,38493.4036103746,10016.416938537744,18.91381759063734,19.162182913175712,20.245770999015463,651.0392740555108,4.752111489456283,106,13,0,17.036237239837646,44.716405779123306,8,0.5628318110874938,2020-03-07,2020-04-01,67,92,26,23.905652372262775,36.575,16.9,9.103786496350367,1905.074375,18,2,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,first_season,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Acholi,2020,first_season,rice,1.8354492390020587,1.5309637823770317,0.8341084840948383,22967.47873768385,19157.368873369905,35162.37811990852,40.59264994900399,44.37531912713453,60.59384741154692,651.0392740555108,4.752111489456283,106,13,0,17.036237239837646,44.716405779123306,8,0.5628318110874938,2020-03-07,2020-04-01,67,92,26,23.905652372262775,36.575,16.9,9.103786496350367,1905.074375,18,2,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,first_season,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Acholi,2020,first_season,simsim,0.24056413363666956,0.09238113907846422,0.38401875492374904,23408.286443384248,8989.221014886893,2162.484165514809,23.81012969175752,37.93932942082419,30.68974725106307,651.0392740555108,4.752111489456283,106,13,0,17.036237239837646,44.716405779123306,8,0.5628318110874938,2020-03-07,2020-04-01,67,92,26,23.905652372262775,36.575,16.9,9.103786496350367,1905.074375,18,2,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,first_season,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Acholi,2020,first_season,sorghum,0.7136992535711828,0.016867887047735765,0.02363444681122032,53700.54900578078,1269.182769210456,905.8147950309092,16.18051337229043,47.45715494719151,32.2584217737696,651.0392740555108,4.752111489456283,106,13,0,17.036237239837646,44.716405779123306,8,0.5628318110874938,2020-03-07,2020-04-01,67,92,26,23.905652372262775,36.575,16.9,9.103786496350367,1905.074375,18,2,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,first_season,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Acholi,2020,first_season,soya_beans,1.0958248492916713,0.9190197884814282,0.8386557295862309,20487.345117292487,17181.829366627837,18828.27557624016,20.55769950101332,22.62806615191082,24.478383155329823,651.0392740555108,4.752111489456283,106,13,0,17.036237239837646,44.716405779123306,8,0.5628318110874938,2020-03-07,2020-04-01,67,92,26,23.905652372262775,36.575,16.9,9.103786496350367,1905.074375,18,2,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,first_season,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Acholi,2020,first_season,sweet_potatoes,7.360751879011887,1.7372837399985381,0.23601987521847462,12821.508783342924,3026.130903157173,22274.5987315501,9.315706041535202,13.477143439272796,9.537826708613345,651.0392740555108,4.752111489456283,106,13,0,17.036237239837646,44.716405779123306,8,0.5628318110874938,2020-03-07,2020-04-01,67,92,26,23.905652372262775,36.575,16.9,9.103786496350367,1905.074375,18,2,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,first_season,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Acholi,2020,second_season,beans,0.8791468943891129,0.6237504367676856,0.7094951261826468,14288.101607569732,10137.338452973165,8912.209618302692,30.90510484445952,35.202092009781225,34.55364940435578,650.1106713861227,5.285452612895306,93,18,2,22.452183485031128,61.82121396064758,8,0.6666527513708788,2020-08-15,2020-12-09,228,344,117,23.030365853658534,29.81,15.34875,9.431280487804873,1602.7350000000001,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,second_season,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
Acholi,2020,second_season,groundnuts,0.774283389787513,0.5375684309435399,0.6942786556367496,21212.19136588105,14727.171704613364,11403.00442943078,25.12317623417041,27.01519384363122,33.11498337346168,650.1106713861227,5.285452612895306,93,18,2,22.452183485031128,61.82121396064758,8,0.6666527513708788,2020-08-15,2020-12-09,228,344,117,23.030365853658534,29.81,15.34875,9.431280487804873,1602.7350000000001,0,0,0,AAS2020_Table_6_1,official_aggregate,sub_region,sub_region,production_mt_divided_by_area_harvested_ha,2020,second_season,False,False,False,surveyed_seasonal_block,True,CHIRPS_v2.0_daily_via_ClimateSERV,NASA_POWER_daily,not_included,none,30,,soil_not_included_for_milestone,aas-chirps-v1,uganda_crop_model-0.2.0
