crop,table_id,entity_type,sub_region,season_group,area_planted_ha,area_harvested_ha,production_mt,yield_mt_per_ha_production_over_harvested,yield_mt_per_ha_production_over_planted,cv_area_planted_pct,cv_area_harvested_pct,cv_production_pct
maize,Table 6-1,sub_region,South Buganda,first_season_2020,125557.02432467446,115468.58604451432,191530.03240854797,1.658719821291578,1.5254425902391229,22.20082568868207,23.033297881011123,18.255009247480807
maize,Table 6-1,sub_region,South Buganda,second_season_2020,102766.93537164225,83933.63233029463,194276.26534969616,2.314641460829224,1.8904549858096207,19.10868159790685,22.71591307493866,21.704358314262265
maize,Table 6-1,sub_region,South Buganda,total_2020,228323.9596963167,199402.21837480896,385806.2977582441,1.9348144714872644,1.6897319855147372,16.453591932179805,17.576797197466302,16.432129845884923
maize,Table 6-1,sub_region,North Buganda,first_season_2020,215227.03722187396,192545.52599748352,417709.7937484132,2.169407944352197,1.9407868042052874,14.404944499910464,14.57607379166666,15.123540005708215
maize,Table 6-1,sub_region,North Buganda,second_season_2020,223403.78002482187,160691.5591261233,431736.49277496454,2.686740331121587,1.932538888675005,12.96591442306122,14.189739878565364,15.35713871023032
maize,Table 6-1,sub_region,North Buganda,total_2020,438630.81724669586,353237.08512360684,849446.2865233778,2.404748318614775,1.9365859696210765,13.26216373897659,14.01329983761593,14.730685246237874
maize,Table 6-1,sub_region,West Nile,first_season_2020,39239.518416528,33132.1575052303,41948.48039033027,1.2660956469166913,1.0690365754504578,13.395643531209506,14.64938004915027,15.930838937998889
maize,Table 6-1,sub_region,West Nile,second_season_2020,13264.093799427596,6748.346308868425,17794.31864810569,2.6368413584111803,1.3415404713794767,17.81649627869704,22.056781947081973,19.444188801140015
maize,Table 6-1,sub_region,West Nile,total_2020,52503.612215955596,39880.50381409872,59742.79903843596,1.4980452432828955,1.137879786112705,11.56729450230512,13.437074758945519,13.8931134538772
maize,Table 6-1,sub_region,Lango,first_season_2020,69185.29275555443,67264.57029434633,103057.8844719054,1.5321273000173696,1.4895923738594221,15.146786439866341,14.909516987867702,15.107604414408504
maize,Table 6-1,sub_region,Lango,second_season_2020,137032.14525612045,66295.05738240275,195502.2530964039,2.9489717758099068,1.4266889913384897,11.73544245354198,13.956450921521279,14.755382612409312
maize,Table 6-1,sub_region,Lango,total_2020,206217.43801167488,133559.62767674908,298560.1375683093,2.235407081928281,1.447792875554038,11.978033285828339,13.072659794416117,13.762194947479353
maize,Table 6-1,sub_region,Acholi,first_season_2020,47942.140325612876,41732.53402677024,67894.06728161349,1.6268858066002263,1.4161667964861675,16.589763354664175,17.47189964546245,20.00325538597934
maize,Table 6-1,sub_region,Acholi,second_season_2020,10696.561668655642,6348.980979146792,12646.657888078615,1.9919193221111422,1.1823105666877405,18.42136967448647,19.386080764407403,21.47042551825298
maize,Table 6-1,sub_region,Acholi,total_2020,58638.701994268515,48081.515005917034,80540.7251696921,1.6750870924050658,1.3735079807456232,13.304035591871061,15.445166147719688,16.958306618026867
maize,Table 6-1,sub_region,Kigezi,first_season_2020,5228.6625781950825,4389.13769589533,7368.617378566739,1.6788303054282812,1.4092738378827194,25.818016485199202,27.983785955587038,32.09402224593719
maize,Table 6-1,sub_region,Kigezi,second_season_2020,9892.739728998818,3581.735668011803,16405.878281369343,4.580426866194772,1.658375609870581,23.034586873294348,18.717003393404777,25.934220948867154
maize,Table 6-1,sub_region,Kigezi,total_2020,15121.402307193901,7970.873363907132,23774.49565993608,2.9826713553861293,1.5722414612714544,20.81745801460174,21.86894045193839,23.20254881528554
maize,Table 6-1,sub_region,Bunyoro,first_season_2020,175979.4170716595,170452.2552073215,399310.89354733896,2.3426553850030096,2.269077260238554,15.251338188788091,15.331678571489354,15.499039803341756
maize,Table 6-1,sub_region,Bunyoro,second_season_2020,157769.22991330645,93771.61150004598,286465.37767513114,3.0549264654046246,1.8157240029157948,14.894061671122882,18.231437997273936,17.07727225114018
maize,Table 6-1,sub_region,Bunyoro,total_2020,333748.64698496595,264223.8667073675,685776.2712224701,2.5954365128642194,2.0547686931997107,14.823885150160562,15.179980716754743,15.202880651236114
maize,Table 6-1,sub_region,Tooro,first_season_2020,64066.41396896392,53605.05896159952,161020.45271850307,3.0038294115831783,2.5133364385980332,26.093121792626295,23.904563954035098,25.692759896606
maize,Table 6-1,sub_region,Tooro,second_season_2020,85373.47509107928,45901.87972764587,196466.20980452397,4.280134298861751,2.301255859562086,21.151534637209917,29.602955829093236,22.956032838810632
maize,Table 6-1,sub_region,Tooro,total_2020,149439.8890600432,99506.93868924539,357486.66252302704,3.592580248493403,2.392176980132748,22.696027053238037,25.203967087463457,23.46609714536129
maize,Table 6-1,sub_region,Busoga,first_season_2020,124578.5300679457,117552.77324600064,178943.35255991446,1.5222384603844508,1.4363899819841985,11.366694662683921,12.294182115478415,11.292854602544352
maize,Table 6-1,sub_region,Busoga,second_season_2020,104778.51309650268,73939.46604062416,127450.43128546735,1.7237131684916813,1.2163794610072722,11.190791135109194,12.872859677786522,13.081074447411623
