district,year,DJF_rzsm_1,JJA_rzsm_1,MAM_rzsm_1,SON_rzsm_1,DJF_rzsm_1m,JJA_rzsm_1m,MAM_rzsm_1m,SON_rzsm_1m,DJF_rzsm_2,JJA_rzsm_2,MAM_rzsm_2,SON_rzsm_2,DJF_rzsm_3,JJA_rzsm_3,MAM_rzsm_3,SON_rzsm_3,DJF_surface_sm,JJA_surface_sm,MAM_surface_sm,SON_surface_sm,annual_surface_sm,annual_rzsm_1m,annual_rzsm_1,annual_rzsm_2,annual_rzsm_3,surface_sm_cv,rzsm_1m_cv,min_surface_sm,max_surface_sm,min_rzsm_1m,max_rzsm_1m,annual_surface_nobs,annual_rzsm_1m_nobs,soil_moisture_index
Arua,2020,0.19500715037186941,0.2653673440217972,0.20479571322600046,0.2791133026281993,0.2235679974158605,0.24808412293593088,0.20147286852200827,0.2766462067763011,0.20776731769243875,0.25875231623649597,0.20070610443751016,0.2802732785542806,0.23622848093509674,0.2398694952329,0.20130244394143423,0.27442150314648944,0.18597908318042755,0.2690197378396988,0.2083685298760732,0.27807116508483887,0.2353596289952596,0.23744279891252518,0.23607087756196657,0.23687475423018137,0.2379554808139801,0.18230794294879157,0.13987530278431445,0.1732388138771057,0.2855159044265747,0.19155775010585785,0.2778775095939636,30.5,30.5,0.23744279891252518
Arua,2021,0.1700433393319448,0.2500874350468318,0.19755445420742035,0.27131255467732746,0.20211303730805716,0.2379607856273651,0.18700939416885376,0.26781294743220013,0.18249579767386118,0.24742341538270315,0.18927039206027985,0.27190128962198895,0.21726660430431366,0.23120835423469543,0.18412138521671295,0.26518548528353375,0.1639645000298818,0.25125251213709515,0.20259254177411398,0.27062569558620453,0.22210881238182387,0.22372404113411903,0.2222494458158811,0.22277272368470827,0.22444545725981394,0.2221083060639221,0.1693493175354695,0.1422998607158661,0.2887035012245178,0.16462509334087372,0.2747252285480499,30.166666666666668,30.416666666666668,0.22372404113411903
Arua,2022,0.18015970786412558,0.26090321441491443,0.21113837758700052,0.2698950469493866,0.20445589224497476,0.24714957674344382,0.19660559793313345,0.26863540212313336,0.18975884715716043,0.25654957195123035,0.20205999910831451,0.2710481782754262,0.2158537656068802,0.24015729626019797,0.191456268231074,0.26721907655398053,0.17455331981182098,0.2622372756401698,0.21814659237861633,0.26804540554682416,0.23074564834435782,0.22921161726117134,0.2305240867038568,0.2298541491230329,0.22867160166303316,0.19809014868285016,0.1678715325141498,0.14001235365867615,0.28595370054244995,0.16748102009296417,0.272611141204834,30.416666666666668,30.416666666666668,0.22921161726117134
Arua,2023,0.191878413160642,0.2561801075935364,0.23465702931086221,0.2758314112822215,0.21741199990113577,0.2495704640944799,0.2191996971766154,0.26894094546635944,0.20335769653320312,0.25446782012780506,0.22617230316003165,0.27333367864290875,0.2286947468916575,0.24602019786834717,0.21313717464605966,0.2655961712201436,0.18484225869178772,0.2573336064815521,0.23954307536284128,0.27719105283419293,0.23972749834259352,0.23878077665964761,0.2396367403368155,0.23933287461598715,0.238362072656552,0.17155696847275204,0.1327270728306816,0.1513788402080536,0.2866109609603882,0.17849881947040558,0.27978384494781494,30.416666666666668,30.416666666666668,0.23878077665964761
Arua,2024,0.18203142285346985,0.2567957242329915,0.21515638132890066,0.27048027515411377,0.2123286376396815,0.24413758019606271,0.2073517789443334,0.2686377267042796,0.19449974099795023,0.25175659358501434,0.20997041960557303,0.27152150869369507,0.22629261513551077,0.2382183720668157,0.2047416865825653,0.26688875754674274,0.1759711056947708,0.2599287082751592,0.21673919260501862,0.2699830134709676,0.23065550501147905,0.2331139308710893,0.23111595089236894,0.23193706572055817,0.23403535783290863,0.1844297231730454,0.12939631161037732,0.1631656438112259,0.2769785225391388,0.1842033565044403,0.27028071880340576,30.25,30.5,0.2331139308710893
Fort_Portal,2020,0.2515714814265569,0.23778657615184784,0.25246600310007733,0.2776047686735789,0.25834622979164124,0.24058814843495688,0.2515265494585037,0.2674915095170339,0.25521520773569745,0.23806064327557883,0.25175898273785907,0.27403944730758667,0.26104087630907696,0.24231883883476257,0.25125375886758167,0.26253198583920795,0.2489222784837087,0.2391592562198639,0.25256914893786114,0.279128760099411,0.2549448609352112,0.25448810930053395,0.25485720733801526,0.2547685702641805,0.2542863649626573,0.06627096170689477,0.04933324421296885,0.2320837676525116,0.2860085666179657,0.23847390711307526,0.2774370014667511,0.0,0.0,0.25448810930053395
Fort_Portal,2021,0.2508173684279124,0.24425955613454184,0.25693509976069134,0.27891895174980164,0.2592679113149643,0.2476293941338857,0.2542390525341034,0.270601361989975,0.2547982682784398,0.24543332556883493,0.254947692155838,0.27601200342178345,0.26291115085283917,0.24928906559944153,0.2534353931744893,0.2665097713470459,0.2483870287736257,0.24449468155701956,0.2577173908551534,0.28038586179415387,0.25774624074498814,0.2579344299932321,0.2577327440182368,0.25779782235622406,0.258036345243454,0.06041479882853301,0.04211406201289189,0.2372519075870514,0.28346166014671326,0.24553552269935608,0.2748759388923645,0.0,0.0,0.2579344299932321
Fort_Portal,2022,0.24381558100382486,0.2341977854569753,0.24096419413884482,0.2721335093180339,0.2532062927881877,0.2348326841990153,0.24093544483184814,0.2641032139460246,0.24829309185345969,0.2335052788257599,0.23980281750361124,0.270026554663976,0.25722802678744,0.23560220499833426,0.24149697025616965,0.2598031759262085,0.24071664114793143,0.23530012865861258,0.24168639381726584,0.2726324200630188,0.24758389592170715,0.24826940894126892,0.2477777674794197,0.24790693571170172,0.2485325944920381,0.07327390553960263,0.0526737932659115,0.22385726869106293,0.28168004751205444,0.22961871325969696,0.2666205167770386,0.0,0.0,0.24826940894126892
Fort_Portal,2023,0.22635161379973093,0.22563258310159048,0.23679334918657938,0.2560875068108241,0.239556685090065,0.22807151079177856,0.23323765397071838,0.24780470629533133,0.23312673966089884,0.22617465754350027,0.23394547899564108,0.25288839638233185,0.24497250219186148,0.2294264237085978,0.23229112227757773,0.24388240277767181,0.22233520448207855,0.22609406212965646,0.23808362086613974,0.25753892461458844,0.23601295302311578,0.23716763903697333,0.23621626322468123,0.23653381814559302,0.23764311273892721,0.07232874166154227,0.04768119827730571,0.20273029804229736,0.2633298635482788,0.2226019650697708,0.2558440864086151,0.0,0.0,0.23716763903697333
Fort_Portal,2024,0.21610835691293082,0.2153355379899343,0.21713932851950327,0.24884551763534546,0.2282621463139852,0.2150197078784307,0.2177737553914388,0.24057947099208832,0.2216490109761556,0.21432469288508096,0.21647888918717703,0.24657495816548666,0.23359433809916177,0.21531457702318826,0.21852691968282065,0.23620404799779257,0.21366806825002035,0.216405987739563,0.2172615627447764,0.24928350249926248,0.22415478030840555,0.22540877014398575,0.22435718526442847,0.22475688780347505,0.22590997070074081,0.07405292971440594,0.05364488404287769,0.20758233964443207,0.25513678789138794,0.2120378613471985,0.24864639341831207,0.0,0.0,0.22540877014398575
