district,lat,lon,clay,sand,silt,soc,bdod,cec,phh2o,yield_source,rainfall_source,temperature_source,soil_source,soil_moisture_source,yield_granularity,is_proxy,is_imputed,data_quality_score,data_quality_note
Sheema,-0.6064526724468084,30.30190643685336,36.56666666666667,33.95,29.51666666666667,26.166666666666668,1.2666666666666666,22.35,5.75,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Budaka,1.0887212520432252,34.009018494261014,39.33333333333333,39.03333333333333,21.65,20.583333333333336,1.3066666666666666,22.25,6.1,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Busia,0.44482608327348894,34.032737852243365,45.16666666666667,35.2,19.666666666666668,23.93333333333333,1.31,14.416666666666666,5.616666666666667,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Butaleja,0.8528562262542055,33.94419242105483,37.35,37.65,25.0,23.416666666666664,1.365,20.98333333333333,6.1,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kibuku,1.073178462096525,33.82439760228314,40.016666666666666,36.05,23.95,22.333333333333332,1.31,20.1,5.9,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Pallisa,1.2229171619567758,33.664107182884344,37.18333333333333,38.7,24.166666666666664,21.31666666666667,1.3233333333333335,18.366666666666667,5.85,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Tororo,0.6510600243787987,34.12222831065202,40.88333333333333,35.36666666666667,23.75,21.7,1.3016666666666665,21.633333333333333,5.6,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Buliisa,1.864654201188387,31.48302008378839,36.1,40.983333333333334,22.916666666666664,20.583333333333336,1.3616666666666666,21.35,6.283333333333333,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Hoima,1.5211654549554645,31.299978645768878,32.08333333333333,44.05,23.883333333333333,22.966666666666665,1.3283333333333334,15.966666666666665,5.6,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kagadi,1.0321445755460823,30.88287663217078,37.43333333333333,36.9,25.633333333333333,32.55,1.2433333333333332,20.266666666666666,6.1,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kakumiro,0.9894182972172564,31.264369090715704,33.93333333333333,38.95,27.01666666666667,27.0,1.2833333333333334,21.21666666666667,5.766666666666667,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kibaale,0.7999859385435735,31.078679757862314,43.36666666666667,31.93333333333333,24.7,40.38333333333333,1.1583333333333334,21.316666666666666,5.8,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
Kiryandongo,1.988332474161616,32.02551924582113,34.483333333333334,43.05,22.46666666666667,24.5,1.3066666666666666,18.516666666666666,5.75,,,,SoilGrids_v2.0,,district,False,False,F,SoilGrids v2.0 modelled mean at 0-30 cm depth-weighted average of 0-5/5-15/15-30 cm layers; point prediction at district centroid.
