crop,sub_region,area_planted_ha,production_mt,yield_over_planted,area_harvested_ha,cv_production_pct,yield_over_harvested,year,harvest_loss_ratio,yield_source,rainfall_source,temperature_source,soil_source,soil_moisture_source,yield_granularity,is_proxy,is_imputed,data_quality_score,data_quality_note
beans,Karamoja,27159.0,15218.0,0.6,1955.0,68.2,0.4,2018,0.9280164954527045,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
beans,Kigezi,77823.0,47399.0,0.6,44827.0,16.8,0.6,2018,0.42398776711255026,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
beans,Lango,107847.0,39728.0,0.4,35602.0,15.7,0.3,2018,0.6698841877845466,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
beans,North Buganda,214705.0,142433.0,0.7,94309.0,14.4,0.6,2018,0.5607507976060175,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
beans,South Buganda,120327.0,73476.0,0.6,60918.0,16.8,0.6,2018,0.4937295868757635,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
beans,Teso,9178.0,3014.0,0.3,3087.0,35.1,0.4,2018,0.6636522118108521,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
beans,Tooro,108266.0,69551.0,0.6,49710.0,11.7,0.7,2018,0.5408530840707146,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
beans,West Nile,14287.0,9003.0,0.6,8679.0,26.5,0.7,2018,0.3925246727794498,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
cassava,Acholi,58236.0,353821.0,6.1,37443.0,19.5,9.4,2018,0.3570471873068205,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
cassava,Ankole,14762.0,111115.0,7.5,10706.0,44.8,10.4,2018,0.2747595176805311,AAS2018_subregion,,,,,subregion,False,False,A,Official AAS 2018 Annex 4 sub-region estimates. yield_over_harvested only published for second-season (annual crops) or total (perennial crops); CV only for second season.
