spatial_unit,date,rain_mm
Acholi,2015-01-01,0.41331756114959717
Acholi,2015-01-02,0.0
Acholi,2015-01-03,0.0
Acholi,2015-01-04,0.2165442258119583
Acholi,2015-01-05,0.0
Acholi,2015-01-06,0.2191726714372635
Acholi,2015-01-07,0.0
Acholi,2015-01-08,0.0
Acholi,2015-01-09,0.0
Acholi,2015-01-10,0.0
Acholi,2015-01-11,0.0
Acholi,2015-01-12,0.0
Acholi,2015-01-13,0.0
Acholi,2015-01-14,0.0
Acholi,2015-01-15,0.0
Acholi,2015-01-16,0.0
Acholi,2015-01-17,0.0
Acholi,2015-01-18,0.0
Acholi,2015-01-19,0.0
Acholi,2015-01-20,0.0
Acholi,2015-01-21,0.0
Acholi,2015-01-22,0.0
Acholi,2015-01-23,0.0
Acholi,2015-01-24,0.0
Acholi,2015-01-25,0.0
Acholi,2015-01-26,0.4120771586894989
Acholi,2015-01-27,0.0
Acholi,2015-01-28,0.0
Acholi,2015-01-29,0.0
Acholi,2015-01-30,0.0
Acholi,2015-01-31,0.0
Acholi,2015-02-01,0.0
Acholi,2015-02-02,0.0
Acholi,2015-02-03,0.0
Acholi,2015-02-04,0.0
Acholi,2015-02-05,0.0
Acholi,2015-02-06,0.0
Acholi,2015-02-07,0.0
Acholi,2015-02-08,0.0
Acholi,2015-02-09,0.0
Acholi,2015-02-10,0.0
Acholi,2015-02-11,1.71941003203392
Acholi,2015-02-12,1.2121680974960327
Acholi,2015-02-13,0.0
Acholi,2015-02-14,0.0
Acholi,2015-02-15,0.0
Acholi,2015-02-16,0.0
Acholi,2015-02-17,1.966270089149475
Acholi,2015-02-18,3.2479727268218994
Acholi,2015-02-19,0.6141935586929321
Acholi,2015-02-20,2.9408207833766937
Acholi,2015-02-21,2.8838391304016113
Acholi,2015-02-22,0.687494695186615
Acholi,2015-02-23,0.0
Acholi,2015-02-24,0.0
Acholi,2015-02-25,0.0
Acholi,2015-02-26,1.0134250670671463
Acholi,2015-02-27,0.3372849076986313
Acholi,2015-02-28,0.16758538782596588
Acholi,2015-03-01,0.0
Acholi,2015-03-02,0.0
Acholi,2015-03-03,0.0
Acholi,2015-03-04,0.0
Acholi,2015-03-05,6.076777279376984
Acholi,2015-03-06,0.0
Acholi,2015-03-07,0.0
Acholi,2015-03-08,0.0
Acholi,2015-03-09,0.0
Acholi,2015-03-10,0.0
Acholi,2015-03-11,0.0
Acholi,2015-03-12,0.0
Acholi,2015-03-13,2.5614341497421265
Acholi,2015-03-14,0.2056169956922531
Acholi,2015-03-15,0.0
Acholi,2015-03-16,0.0
Acholi,2015-03-17,0.0
Acholi,2015-03-18,0.0
Acholi,2015-03-19,0.0
Acholi,2015-03-20,0.268403023481369
Acholi,2015-03-21,0.0
Acholi,2015-03-22,4.203390836715698
Acholi,2015-03-23,3.946268379688263
Acholi,2015-03-24,6.116864502429962
Acholi,2015-03-25,2.6491947770118713
Acholi,2015-03-26,3.0432475209236145
Acholi,2015-03-27,0.0
Acholi,2015-03-28,5.782542586326599
Acholi,2015-03-29,4.258726119995117
Acholi,2015-03-30,4.308249920606613
Acholi,2015-03-31,7.75418296456337
Acholi,2015-04-01,10.088245749473572
Acholi,2015-04-02,8.777236640453339
Acholi,2015-04-03,16.503608226776123
Acholi,2015-04-04,5.142766296863556
Acholi,2015-04-05,7.336498856544495
Acholi,2015-04-06,7.7344473004341125
