spatial_unit,date,tmax_c,tmin_c
Acholi,2015-05-06,28.903750000000002,19.713749999999997
Acholi,2015-05-07,23.415,19.4925
Acholi,2015-05-08,28.53,18.701249999999998
Acholi,2015-05-09,24.68625,19.6375
Acholi,2015-05-10,27.9775,18.865000000000002
Acholi,2015-05-11,27.65,19.61
Acholi,2015-05-12,27.6325,19.95625
Acholi,2015-05-13,29.24125,20.09125
Acholi,2015-05-14,29.03,19.9425
Acholi,2015-05-15,28.61375,20.013749999999998
Acholi,2015-05-16,28.555,20.625
Acholi,2015-05-17,28.39875,20.50375
Acholi,2015-05-18,27.82875,19.7075
Acholi,2015-05-19,28.47625,20.525
Acholi,2015-05-20,28.75875,19.32375
Acholi,2015-05-21,29.67,19.155
Acholi,2015-05-22,29.84,19.01125
Acholi,2015-05-23,29.29375,20.0225
Acholi,2015-05-24,27.87125,19.92375
Acholi,2015-05-25,29.005000000000003,19.8
Acholi,2015-05-26,29.05375,19.66875
Acholi,2015-05-27,29.291249999999998,18.8925
Acholi,2015-05-28,29.20125,19.60125
Acholi,2015-05-29,29.14375,20.115000000000002
Acholi,2015-05-30,27.947499999999998,20.208750000000002
Acholi,2015-05-31,26.877499999999998,20.134999999999998
Acholi,2015-06-01,25.763749999999998,19.80125
Acholi,2015-06-02,26.07125,18.75375
Acholi,2015-06-03,28.2075,18.92875
Acholi,2015-06-04,27.76875,19.56375
Acholi,2015-06-05,26.83875,19.548750000000002
Acholi,2015-06-06,26.9275,19.77625
Acholi,2015-06-07,26.99125,18.955000000000002
Acholi,2015-06-08,27.67125,18.9625
Acholi,2015-06-09,28.78875,19.31875
Acholi,2015-06-10,29.01125,19.7525
Acholi,2015-06-11,28.4525,19.485
Acholi,2015-06-12,27.77375,18.49625
Acholi,2015-06-13,26.0675,19.09875
Acholi,2015-06-14,28.10625,17.6125
Acholi,2015-06-15,29.1575,18.9725
Acholi,2015-06-16,28.9525,20.06625
Acholi,2015-06-17,26.6125,19.46125
Acholi,2015-06-18,26.19875,19.20375
