district,sub_region,lat,lon
Agago,Acholi,2.7930061395530275,33.31204317423587
Amuru,Acholi,2.9832032742483587,31.838702189644742
Gulu,Acholi,2.9779834598684705,32.38685513102706
Kitgum,Acholi,3.307646037563655,33.16950142704869
Lamwo,Acholi,3.3860375514530143,32.764728408701686
Nwoya,Acholi,2.6048242312904546,31.879100533692956
Omoro,Acholi,2.679455304659223,32.443382834975075
Pader,Acholi,2.8597845546680296,32.9142194521287
Buhweju,Ankole,-0.3359757917834646,30.27755849899177
Bushenyi,Ankole,-0.4206909534501584,30.13708980539892
Ibanda,Ankole,-0.0051880907297385094,30.542685028242975
Isingiro,Ankole,-0.7443276740301492,30.78529201274008
Kiruhura,Ankole,-0.3574551174544705,30.868965556560568
Mbarara,Ankole,-0.5387368894262103,30.643938944381986
Mitooma,Ankole,-0.6178363077549905,29.997523979096798
Ntungamo,Ankole,-0.9433335769230948,30.258978345679758
Rubirizi,Ankole,-0.2878831110051649,30.11649966665435
Sheema,Ankole,-0.6064526724468084,30.30190643685336
Budaka,Bukedi,1.0887212520432252,34.009018494261014
Busia,Bukedi,0.44482608327348894,34.032737852243365
Butaleja,Bukedi,0.8528562262542055,33.94419242105483
Kibuku,Bukedi,1.073178462096525,33.82439760228314
Pallisa,Bukedi,1.2229171619567758,33.664107182884344
Tororo,Bukedi,0.6510600243787987,34.12222831065202
Buliisa,Bunyoro,1.864654201188387,31.48302008378839
Hoima,Bunyoro,1.5211654549554645,31.299978645768878
Kagadi,Bunyoro,1.0321445755460823,30.88287663217078
Kakumiro,Bunyoro,0.9894182972172564,31.264369090715704
Kibaale,Bunyoro,0.7999859385435735,31.078679757862314
Kiryandongo,Bunyoro,1.988332474161616,32.02551924582113
Masindi,Bunyoro,1.6608458899114968,31.719418971397126
Bugiri,Busoga,0.5925378321069249,33.79485653491775
Buyende,Busoga,1.1716127263893188,33.21708354537384
Iganga,Busoga,0.6688530121573191,33.45184024191531
Jinja,Busoga,0.583061945094639,33.25109632710175
Kaliro,Busoga,1.0289683773172045,33.46058443837174
Kamuli,Busoga,0.9036511167482101,33.13414797430668
Luuka,Busoga,0.7132207418035909,33.381326036289444
Mayuge,Busoga,0.4692019848415745,33.4624109875
Namayingo,Busoga,0.3365914367739261,33.866579171332326
Namutumba,Busoga,0.7944023639261478,33.71814581780439
Bududa,Elgon,1.0435111127569587,34.40505864267179
Bukwo,Elgon,1.2922492998158397,34.69608578352513
Bulambuli,Elgon,1.344303672909069,34.332707796406645
Kapchorwa,Elgon,1.3459080440216822,34.44711805903888
Kween,Elgon,1.4569156609849714,34.54439195173715
Manafwa,Elgon,0.9040155096872904,34.28216847933992
Mbale,Elgon,1.0294927840258596,34.213690997489344
Sironko,Elgon,1.1830235417392074,34.32507966057993
Abim,Karamoja,2.65183532206906,33.7716142764045
Amudat,Karamoja,1.7105038023994157,34.778613739131046
Kaabong,Karamoja,3.4513383856017197,33.99402537180229
Kotido,Karamoja,3.1140191410414144,33.823586326362026
Moroto,Karamoja,2.4546842468939127,34.67330217331044
Nakapiripirit,Karamoja,1.7101543051354364,34.565217022071316
Napak,Karamoja,2.4977812437858136,34.13805428828976
Kabale,Kigezi,-1.3222487711517437,30.013791310666353
Kanungu,Kigezi,-0.7963978009044944,29.734042696813482
Kisoro,Kigezi,-1.1497486032806357,29.67520247315182
Rubanda,Kigezi,-1.1097997431438307,29.83123852360904
Rukungiri,Kigezi,-0.7188219227669995,29.90370531323003
Alebtong,Lango,2.3132434092721423,33.266323164562756
Amolatar,Lango,1.6112529219003882,32.68450245416171
Apac,Lango,1.9426493805849774,32.439277346604705
Dokolo,Lango,1.9603107248231633,33.09781783605168
Kole,Lango,2.3295358464481875,32.77280396644526
Lira,Lango,2.3948669632318484,32.94536913071559
Otuke,Lango,2.4655362958876967,33.37592240993547
Oyam,Lango,2.3694520335046176,32.516143000214996
Buikwe,North Buganda,0.37361902946262626,33.03446193061818
Buvuma,North Buganda,0.16839032186404293,33.27736552367799
Kayunga,North Buganda,0.8665786370556292,32.94045985291192
Kiboga,North Buganda,0.7951726886562009,31.934944200910518
Kyankwanzi,North Buganda,1.1287866845477044,31.60949093464832
