crop,table_id,entity_type,sub_region,season_group,area_planted_ha,production_mt,yield_mt_per_ha_production_over_planted,area_harvested_ha,yield_mt_per_ha_production_over_harvested,cv_area_planted_pct,cv_area_harvested_pct,cv_production_pct,year
cassava,Table 6-27,sub_region,Acholi,first_season_2020,54927.849234400375,56740.03208838207,1.0329920592056743,,,18.871318520339717,18.871318520339717,40.83412770550354,2020
cassava,Table 6-27,sub_region,Acholi,second_season_2020,64799.63303890406,77331.94717063358,1.1934010046662678,,,15.194719602685572,17.93528072734947,30.99040665611006,2020
cassava,Table 6-27,sub_region,Acholi,total_2020,64799.63303890406,134071.97925901564,2.069023742441909,,,16.607929241045603,18.05959175139749,32.575456890415765,2020
cassava,Table 6-27,sub_region,Ankole,first_season_2020,4469.515368310693,15723.518859034817,3.517947151612035,,,15.77361117181091,17.1563235517944,28.312348569821093,2020
cassava,Table 6-27,sub_region,Ankole,second_season_2020,3712.7105631111567,10601.030039676856,2.8553343600244085,,,13.685891827294972,22.656656408510063,18.49264172167217,2020
cassava,Table 6-27,sub_region,Ankole,total_2020,3712.7105631111567,26324.548898711673,7.090385434369107,,,12.5703182847998,15.800177910477045,19.830003960190854,2020
cassava,Table 6-27,sub_region,Bukedi,first_season_2020,84084.28897852825,74424.34400949194,0.8851159344226236,,,10.824161500384246,10.824161500384246,16.482345148906763,2020
cassava,Table 6-27,sub_region,Bukedi,second_season_2020,73396.17370939569,111811.34226573579,1.523394703223098,,,10.252121984802482,12.467855533419746,8.948333776917359,2020
cassava,Table 6-27,sub_region,Bukedi,total_2020,73396.17370939569,186235.68627522772,2.5374032032324743,,,10.145990228683104,10.764215914742808,10.384100470777026,2020
cassava,Table 6-27,sub_region,Bunyoro,first_season_2020,35216.997301244,18824.096808618146,0.5345173709046798,,,20.278957810312253,20.42748643214806,23.969994020088023,2020
cassava,Table 6-27,sub_region,Bunyoro,second_season_2020,40107.27886963582,45056.10030534446,1.1233896084497337,,,16.246967491270183,21.212521515608568,18.79158762731873,2020
cassava,Table 6-27,sub_region,Bunyoro,total_2020,40107.27886963582,63880.197113962604,1.5927332622489292,,,15.657529101705258,17.649527117378575,16.148820631236422,2020
cassava,Table 6-27,sub_region,Busoga,first_season_2020,76630.83382949435,71954.21135621905,0.9389720528986947,,,16.157577541954023,16.157577541954023,26.675035181505386,2020
cassava,Table 6-27,sub_region,Busoga,second_season_2020,78064.21843672104,124194.02195538337,1.5909212241208206,,,15.935519535778786,17.775349995486124,17.602714581835617,2020
cassava,Table 6-27,sub_region,Busoga,total_2020,78064.21843672104,196148.23331160244,2.5126522399068203,,,15.456836959489905,16.145569650320276,17.226801123743893,2020
cassava,Table 6-27,sub_region,Elgon,first_season_2020,13656.291350413123,6397.136175962559,0.4684387592367115,,,15.6442637065591,18.882719576637623,32.10505617366128,2020
cassava,Table 6-27,sub_region,Elgon,second_season_2020,16979.657400607288,20329.53997682065,1.1972879956985205,,,15.894668963143932,20.39601212108898,16.895696439064896,2020
cassava,Table 6-27,sub_region,Elgon,total_2020,16979.657400607288,26726.67615278321,1.5740409551389014,,,15.009880433858648,18.94353314290677,17.529038706066203,2020
cassava,Table 6-27,sub_region,Karamoja,first_season_2020,2419.863059839253,0.0,0.0,,,64.73680617815792,64.73680617815792,,2020
cassava,Table 6-27,sub_region,Karamoja,second_season_2020,315.65770904940183,1491.2321246875529,4.724206258666626,,,72.85040044263944,99.99999999999999,100.00000000000003,2020
cassava,Table 6-27,sub_region,Karamoja,total_2020,315.65770904940183,1491.2321246875529,4.724206258666626,,,61.163518350980304,62.989617823005084,99.99999999999996,2020
cassava,Table 6-27,sub_region,Kigezi,first_season_2020,2582.4932537817294,4632.417196809422,1.793777075710011,,,29.62198262226924,30.309420730215052,34.686244422142174,2020
cassava,Table 6-27,sub_region,Kigezi,second_season_2020,1970.7824885719137,4495.7853433956325,2.281218434538359,,,27.570977124875963,30.969914087015294,33.39401124431357,2020
cassava,Table 6-27,sub_region,Kigezi,total_2020,1970.7824885719137,9128.202540205055,4.631765602311402,,,28.181907598641757,29.278500645328037,31.896567219138145,2020
cassava,Table 6-27,sub_region,Lango,first_season_2020,128831.54512591052,63744.873454698725,0.4947924314064475,,,7.853990957704116,7.853990957704114,23.33683324170752,2020
cassava,Table 6-27,sub_region,Lango,second_season_2020,100845.09902596327,182824.06357669414,1.812919669300189,,,6.0887443583641385,10.779322206409276,10.374639037624442,2020
cassava,Table 6-27,sub_region,Lango,total_2020,100845.09902596327,246568.93703139288,2.4450264753858986,,,6.519427015594963,7.200143875151779,10.946531151061425,2020
cassava,Table 6-27,sub_region,North Buganda,first_season_2020,57480.70244166691,90732.35559563656,1.5784837648376757,,,17.93596130767661,18.042617496942036,24.964231668768868,2020
cassava,Table 6-27,sub_region,North Buganda,second_season_2020,54172.99919404663,113348.6021651042,2.092344966153558,,,14.742305941445489,18.46868407650254,14.73753831447914,2020
cassava,Table 6-27,sub_region,North Buganda,total_2020,54172.99919404663,204080.95776074077,3.7672080334656526,,,15.829957999928872,17.37327656936566,16.425227367106597,2020
cassava,Table 6-27,sub_region,South Buganda,first_season_2020,15611.119948539797,43483.367440289716,2.7854098606395614,,,18.518597852380974,18.36744520504473,30.272978832760344,2020
cassava,Table 6-27,sub_region,South Buganda,second_season_2020,15803.532764302121,26340.292871630045,1.6667344741505477,,,20.945898475883965,27.966776200755184,19.2395498157282,2020
cassava,Table 6-27,sub_region,South Buganda,total_2020,15803.532764302121,69823.66031191975,4.418231122957598,,,17.631219042136152,19.662810906455203,20.807933573951676,2020
cassava,Table 6-27,sub_region,Teso,first_season_2020,79315.9338876124,49300.39626062226,0.6215698894812108,,,10.64400363198779,10.64400363198779,22.9176471872274,2020
cassava,Table 6-27,sub_region,Teso,second_season_2020,129044.00787132079,153391.44319925888,1.1886754428165056,,,10.027752062522811,14.142171633913133,29.061606803388866,2020
cassava,Table 6-27,sub_region,Teso,total_2020,129044.00787132079,202691.83945988113,1.570718724592001,,,9.901459705835606,11.988188584600959,24.87764743789917,2020
cassava,Table 6-27,sub_region,Tooro,first_season_2020,26777.154487561213,20229.6082199993,0.7554801324911711,,,23.176792761535815,23.30700408824153,25.244718015561705,2020
cassava,Table 6-27,sub_region,Tooro,second_season_2020,27808.16308347928,16991.74911719655,0.6110345752140414,,,19.095058025695995,22.96840358496167,23.87587236266698,2020
cassava,Table 6-27,sub_region,Tooro,total_2020,27808.16308347928,37221.35733719585,1.338504712643494,,,20.784914577582196,22.770554418824336,19.662631554788764,2020
cassava,Table 6-27,sub_region,Uganda,first_season_2020,717370.6935590537,600658.758451511,0.8373059616799986,,,4.301702815135322,19.669476619187655,8.348315136006818,2020
cassava,Table 6-27,sub_region,Uganda,second_season_2020,740014.446156473,1071803.0853490303,1.4483542732386092,,,3.779451427723258,0.0,6.417007834895258,2020
cassava,Table 6-27,sub_region,Uganda,total_2020,740014.446156473,1672461.8438005417,2.260039452590506,,,3.823465927622849,0.0,5.990699310599815,2020
cassava,Table 6-27,sub_region,West Nile,first_season_2020,135366.105291751,84472.40098574648,0.6240291896090631,,,11.02616537029897,11.026165370298969,22.16209284745364,2020
cassava,Table 6-27,sub_region,West Nile,second_season_2020,132994.5320013646,183595.93523746866,1.3804773209441787,,,8.078734058594584,9.773286000894327,15.578530405406324,2020
cassava,Table 6-27,sub_region,West Nile,total_2020,132994.5320013646,268068.33622321516,2.0156342684860507,,,9.090846436434736,9.986139895124243,15.780346953152124,2020
