fold,model,feature_space,target_scale,test_rows,rmse,mae,r2,best_parameters,calibration_size,calibration_group_count,conformal_alpha
5,ols,hybrid,raw,31,2.379484056633684,1.7584243650099276,-0.7464740559870284,{'preprocess__climate_pca__pca__n_components': 0.8},52,3,0.1
1,ridge,hybrid,raw,56,1.6242068924374868,1.0594704635760526,0.5400111545894863,"{'model__alpha': 1.0, 'preprocess__climate_pca__pca__n_components': 0.8}",56,3,0.1
2,ridge,hybrid,raw,57,3.0410961238453322,2.1835201486564766,0.019194891610201603,"{'model__alpha': 10.0, 'preprocess__climate_pca__pca__n_components': 0.95}",54,3,0.1
3,ridge,hybrid,raw,53,1.8853426815914833,1.412788878595764,0.14261243753415465,"{'model__alpha': 10.0, 'preprocess__climate_pca__pca__n_components': 0.8}",52,3,0.1
4,ridge,hybrid,raw,52,6.199712163125589,1.8654476785227547,-0.02288134892103999,"{'model__alpha': 10.0, 'preprocess__climate_pca__pca__n_components': 0.8}",58,3,0.1
5,ridge,hybrid,raw,31,2.158423042805962,1.475912302946552,-0.4370427158374228,"{'model__alpha': 10.0, 'preprocess__climate_pca__pca__n_components': 0.9}",52,3,0.1
1,dummy_mean,raw,crop_centered,56,1.570699725271968,0.7779673421032994,0.5698192844559498,{},56,3,0.1
2,dummy_mean,raw,crop_centered,57,2.4173360359926286,1.3439936538717503,0.38027862423372494,{},54,3,0.1
3,dummy_mean,raw,crop_centered,53,1.4882056180762058,0.9300198477908086,0.46577715031446865,{},52,3,0.1
4,dummy_mean,raw,crop_centered,52,6.1480164654491585,1.5647815308063504,-0.005894075254694542,{},58,3,0.1
5,dummy_mean,raw,crop_centered,31,1.6325672737853023,0.9707914918324495,0.17787337556455907,{},52,3,0.1
1,ols,raw,crop_centered,56,1.789356967268817,1.227173478805761,0.4417116319638248,{},56,3,0.1
2,ols,raw,crop_centered,57,5.049497241240495,3.8106017590734984,-1.704074809117905,{},54,3,0.1
3,ols,raw,crop_centered,53,6.086326545741458,5.0677456050424805,-7.935257637690594,{},52,3,0.1
4,ols,raw,crop_centered,52,7.077037797615374,3.671267067786559,-0.3328621538961767,{},58,3,0.1
5,ols,raw,crop_centered,31,7.252365174670456,6.745457913248565,-15.223922671445433,{},52,3,0.1
1,ridge,raw,crop_centered,56,1.5734304446201732,0.8416836410258861,0.5683222141804569,{'model__alpha': 100.0},56,3,0.1
2,ridge,raw,crop_centered,57,2.6259111612757726,1.6074972593355437,0.26872204393112464,{'model__alpha': 100.0},54,3,0.1
3,ridge,raw,crop_centered,53,1.3730379502495922,0.987885219395914,0.54526156528936,{'model__alpha': 100.0},52,3,0.1
4,ridge,raw,crop_centered,52,6.160245554822655,1.6606089522713974,-0.009899725796715275,{'model__alpha': 100.0},58,3,0.1
5,ridge,raw,crop_centered,31,1.6380339075451513,1.2709683561923617,0.17235839344859993,{'model__alpha': 100.0},52,3,0.1
1,dummy_mean,pca,crop_centered,56,1.570699725271968,0.7779673421032994,0.5698192844559498,{'preprocess__continuous_pca__pca__n_components': 0.8},56,3,0.1
2,dummy_mean,pca,crop_centered,57,2.4173360359926286,1.3439936538717503,0.38027862423372494,{'preprocess__continuous_pca__pca__n_components': 0.8},54,3,0.1
3,dummy_mean,pca,crop_centered,53,1.4882056180762058,0.9300198477908086,0.46577715031446865,{'preprocess__continuous_pca__pca__n_components': 0.8},52,3,0.1
4,dummy_mean,pca,crop_centered,52,6.1480164654491585,1.5647815308063504,-0.005894075254694542,{'preprocess__continuous_pca__pca__n_components': 0.8},58,3,0.1
5,dummy_mean,pca,crop_centered,31,1.6325672737853023,0.9707914918324495,0.17787337556455907,{'preprocess__continuous_pca__pca__n_components': 0.8},52,3,0.1
1,ols,pca,crop_centered,56,1.4968405092573103,0.8397724514091556,0.6093249664299387,{'preprocess__continuous_pca__pca__n_components': 0.9},56,3,0.1
2,ols,pca,crop_centered,57,3.4007108313511973,2.526435302120124,-0.22648384774267583,{'preprocess__continuous_pca__pca__n_components': 0.95},54,3,0.1
3,ols,pca,crop_centered,53,1.4469009013193914,1.1594793292449128,0.49502002718962446,{'preprocess__continuous_pca__pca__n_components': 0.95},52,3,0.1
4,ols,pca,crop_centered,52,6.00065938028094,1.494661582921037,0.041747067779657976,{'preprocess__continuous_pca__pca__n_components': 0.95},58,3,0.1
5,ols,pca,crop_centered,31,1.5578859360129023,1.1979382937702143,0.2513689195575137,{'preprocess__continuous_pca__pca__n_components': 0.9},52,3,0.1
1,ridge,pca,crop_centered,56,1.497670287586788,0.786151134206457,0.6088917024608291,"{'model__alpha': 10.0, 'preprocess__continuous_pca__pca__n_components': 0.95}",56,3,0.1
2,ridge,pca,crop_centered,57,2.574126562536396,1.6594125353116924,0.297280158624985,"{'model__alpha': 100.0, 'preprocess__continuous_pca__pca__n_components': 0.95}",54,3,0.1
3,ridge,pca,crop_centered,53,1.396877944975609,0.9431174492535112,0.529333269288044,"{'model__alpha': 100.0, 'preprocess__continuous_pca__pca__n_components': 0.8}",52,3,0.1
4,ridge,pca,crop_centered,52,6.084740261526118,1.565794906931041,0.014704963859679676,"{'model__alpha': 100.0, 'preprocess__continuous_pca__pca__n_components': 0.8}",58,3,0.1
5,ridge,pca,crop_centered,31,1.5355488606090688,1.0341077195122867,0.2726828633800923,"{'model__alpha': 100.0, 'preprocess__continuous_pca__pca__n_components': 0.95}",52,3,0.1
1,dummy_mean,hybrid,crop_centered,56,1.570699725271968,0.7779673421032994,0.5698192844559498,{'preprocess__climate_pca__pca__n_components': 0.8},56,3,0.1
2,dummy_mean,hybrid,crop_centered,57,2.4173360359926286,1.3439936538717503,0.38027862423372494,{'preprocess__climate_pca__pca__n_components': 0.8},54,3,0.1
3,dummy_mean,hybrid,crop_centered,53,1.4882056180762058,0.9300198477908086,0.46577715031446865,{'preprocess__climate_pca__pca__n_components': 0.8},52,3,0.1
4,dummy_mean,hybrid,crop_centered,52,6.1480164654491585,1.5647815308063504,-0.005894075254694542,{'preprocess__climate_pca__pca__n_components': 0.8},58,3,0.1
5,dummy_mean,hybrid,crop_centered,31,1.6325672737853023,0.9707914918324495,0.17787337556455907,{'preprocess__climate_pca__pca__n_components': 0.8},52,3,0.1
1,ols,hybrid,crop_centered,56,1.5434145459332673,0.9747690461005009,0.5846351135456064,{'preprocess__climate_pca__pca__n_components': 0.8},56,3,0.1
2,ols,hybrid,crop_centered,57,3.1745494527446647,2.4486347158927644,-0.06877581446792802,{'preprocess__climate_pca__pca__n_components': 0.8},54,3,0.1
3,ols,hybrid,crop_centered,53,1.9849581937019736,1.6114677653842735,0.04961557852945231,{'preprocess__climate_pca__pca__n_components': 0.8},52,3,0.1
4,ols,hybrid,crop_centered,52,6.574675359135486,3.009994815999873,-0.15035221461156123,{'preprocess__climate_pca__pca__n_components': 0.8},58,3,0.1
5,ols,hybrid,crop_centered,31,2.379484056633686,1.7584243650099274,-0.7464740559870306,{'preprocess__climate_pca__pca__n_components': 0.8},52,3,0.1
1,ridge,hybrid,crop_centered,56,1.6284407002884929,0.9297451091255261,0.537609930131387,"{'model__alpha': 100.0, 'preprocess__climate_pca__pca__n_components': 0.8}",56,3,0.1
2,ridge,hybrid,crop_centered,57,2.5950295858899803,1.5982233603017815,0.2858210409045686,"{'model__alpha': 100.0, 'preprocess__climate_pca__pca__n_components': 0.95}",54,3,0.1
3,ridge,hybrid,crop_centered,53,1.3864786818086845,0.9762987870947737,0.5363150789404145,"{'model__alpha': 100.0, 'preprocess__climate_pca__pca__n_components': 0.8}",52,3,0.1
4,ridge,hybrid,crop_centered,52,6.197546363310653,1.7137639357087517,-0.022166809528563203,"{'model__alpha': 100.0, 'preprocess__climate_pca__pca__n_components': 0.8}",58,3,0.1
5,ridge,hybrid,crop_centered,31,1.764380885389798,1.3600930082968625,0.039756826451672445,"{'model__alpha': 100.0, 'preprocess__climate_pca__pca__n_components': 0.8}",52,3,0.1
