feature,pc1_loading,pc1_contribution_pct,descriptive_environment_count,explained_variance_ratio,retained_components_parallel,bootstrap_loading_mean_pc1,bootstrap_loading_ci_pc1
temperature_maximum_c,0.932353990661772,18.401065362596793,28,0.45553781345351524,2,0.39987807982665535,"[0.276, 0.494]"
growing_degree_days,0.9264164175946005,18.16744213647291,28,0.45553781345351524,2,0.40080936994137045,"[0.264, 0.470]"
temperature_mean_c,0.863645972561592,15.788933812426546,28,0.45553781345351524,2,0.37543411289882545,"[0.216, 0.466]"
heat_days_32c,0.767086211038025,12.45574337804701,28,0.45553781345351524,2,0.32747466121945,"[0.111, 0.492]"
wet_day_rainfall_cv,-0.7562877271931259,12.107525869180574,28,0.45553781345351524,2,-0.32405790795476797,"[-0.444, -0.171]"
maximum_5day_rainfall_mm,-0.6744340974651164,9.628537754504773,28,0.45553781345351524,2,-0.2740801229463288,"[-0.476, -0.080]"
heavy_rain_days_20mm,-0.6742837514200373,9.624245411562612,28,0.45553781345351524,2,-0.27267773634038284,"[-0.508, 0.002]"
rainy_days_1mm,0.366417284291654,2.842059743989231,28,0.45553781345351524,2,0.17417316851327186,"[-0.137, 0.437]"
rain_total_mm,-0.20577931296941504,0.8963646600634343,28,0.45553781345351524,2,-0.06848756935470239,"[-0.389, 0.214]"
longest_dry_spell_days,-0.06450637188617915,0.08808187115611872,28,0.45553781345351524,2,-0.04284579031401333,"[-0.383, 0.233]"
