aggregation_level,model,feature_space,target_scale,crop,season,nominal_coverage,actual_coverage,mean_interval_width,observations,calibration_size_min,calibration_group_count_min,calibration_group_count_max
crop,dummy_mean,pca,raw,sorghum,,0.9,1.0,8.672063094866486,28,52,3,3
crop,dummy_mean,pca,raw,soya_beans,,0.9,0.96,8.846546936916432,25,52,3,3
crop,dummy_mean,pca,raw,sweet_potatoes,,0.9,0.6923076923076923,8.91991208489534,26,52,3,3
crop,dummy_mean,raw,crop_centered,beans,,0.9,1.0,6.403642600172398,27,52,3,3
crop,dummy_mean,raw,crop_centered,groundnuts,,0.9,1.0,6.402866653312971,28,52,3,3
crop,dummy_mean,raw,crop_centered,irish_potatoes,,0.9,0.8125,6.3536374370816695,16,52,3,3
crop,dummy_mean,raw,crop_centered,maize,,0.9,0.9642857142857143,6.402866653312971,28,52,3,3
crop,dummy_mean,raw,crop_centered,millet,,0.9,1.0,6.394418819479723,27,52,3,3
crop,dummy_mean,raw,crop_centered,rice,,0.9,1.0,6.453214082841323,24,52,3,3
crop,dummy_mean,raw,crop_centered,simsim,,0.9,1.0,6.47070545196983,20,52,3,3
crop,dummy_mean,raw,crop_centered,sorghum,,0.9,1.0,6.402866653312971,28,52,3,3
crop,dummy_mean,raw,crop_centered,soya_beans,,0.9,0.8,6.428302344785685,25,52,3,3
crop,dummy_mean,raw,crop_centered,sweet_potatoes,,0.9,0.7307692307692307,6.404478235251782,26,52,3,3
crop,dummy_mean,raw,raw,beans,,0.9,1.0,8.791397793769267,27,52,3,3
crop,dummy_mean,raw,raw,groundnuts,,0.9,1.0,8.672063094866486,28,52,3,3
crop,dummy_mean,raw,raw,irish_potatoes,,0.9,0.8125,8.388389166822797,16,52,3,3
crop,dummy_mean,raw,raw,maize,,0.9,0.9285714285714286,8.672063094866486,28,52,3,3
crop,dummy_mean,raw,raw,millet,,0.9,1.0,8.674111982027629,27,52,3,3
crop,dummy_mean,raw,raw,rice,,0.9,1.0,9.011646448222594,24,52,3,3
crop,dummy_mean,raw,raw,simsim,,0.9,1.0,8.843488175148918,20,52,3,3
crop,dummy_mean,raw,raw,sorghum,,0.9,1.0,8.672063094866486,28,52,3,3
crop,dummy_mean,raw,raw,soya_beans,,0.9,0.96,8.846546936916432,25,52,3,3
crop,dummy_mean,raw,raw,sweet_potatoes,,0.9,0.6923076923076923,8.91991208489534,26,52,3,3
crop,ols,hybrid,crop_centered,beans,,0.9,0.9629629629629629,9.261168817359632,27,52,3,3
crop,ols,hybrid,crop_centered,groundnuts,,0.9,0.9642857142857143,9.514692087419794,28,52,3,3
crop,ols,hybrid,crop_centered,irish_potatoes,,0.9,0.875,9.63928182942205,16,52,3,3
crop,ols,hybrid,crop_centered,maize,,0.9,1.0,9.514692087419794,28,52,3,3
crop,ols,hybrid,crop_centered,millet,,0.9,0.9259259259259259,9.556853312687508,27,52,3,3
crop,ols,hybrid,crop_centered,rice,,0.9,0.9583333333333334,9.256020750105415,24,52,3,3
crop,ols,hybrid,crop_centered,simsim,,0.9,0.95,8.810469162337952,20,52,3,3
crop,ols,hybrid,crop_centered,sorghum,,0.9,0.9642857142857143,9.514692087419794,28,52,3,3
crop,ols,hybrid,crop_centered,soya_beans,,0.9,0.84,9.246752492246623,25,52,3,3
crop,ols,hybrid,crop_centered,sweet_potatoes,,0.9,0.8076923076923077,8.988143757294843,26,52,3,3
crop,ols,hybrid,raw,beans,,0.9,0.9629629629629629,9.261168817359632,27,52,3,3
crop,ols,hybrid,raw,groundnuts,,0.9,0.9642857142857143,9.514692087419792,28,52,3,3
crop,ols,hybrid,raw,irish_potatoes,,0.9,0.875,9.63928182942205,16,52,3,3
crop,ols,hybrid,raw,maize,,0.9,1.0,9.514692087419792,28,52,3,3
crop,ols,hybrid,raw,millet,,0.9,0.9259259259259259,9.556853312687508,27,52,3,3
crop,ols,hybrid,raw,rice,,0.9,0.9583333333333334,9.256020750105415,24,52,3,3
crop,ols,hybrid,raw,simsim,,0.9,0.95,8.810469162337952,20,52,3,3
crop,ols,hybrid,raw,sorghum,,0.9,0.9642857142857143,9.514692087419792,28,52,3,3
crop,ols,hybrid,raw,soya_beans,,0.9,0.84,9.246752492246621,25,52,3,3
crop,ols,hybrid,raw,sweet_potatoes,,0.9,0.8076923076923077,8.988143757294843,26,52,3,3
crop,ols,pca,crop_centered,beans,,0.9,0.9259259259259259,5.566594973627759,27,52,3,3
crop,ols,pca,crop_centered,groundnuts,,0.9,0.9285714285714286,5.599242578647284,28,52,3,3
crop,ols,pca,crop_centered,irish_potatoes,,0.9,0.875,5.572258980355631,16,52,3,3
crop,ols,pca,crop_centered,maize,,0.9,0.9285714285714286,5.599242578647284,28,52,3,3
crop,ols,pca,crop_centered,millet,,0.9,1.0,5.560323060824552,27,52,3,3
crop,ols,pca,crop_centered,rice,,0.9,0.9583333333333334,5.679284595723409,24,52,3,3
crop,ols,pca,crop_centered,simsim,,0.9,0.9,5.699001934375955,20,52,3,3
crop,ols,pca,crop_centered,sorghum,,0.9,1.0,5.599242578647284,28,52,3,3
crop,ols,pca,crop_centered,soya_beans,,0.9,0.68,5.626404133735105,25,52,3,3
crop,ols,pca,crop_centered,sweet_potatoes,,0.9,0.6923076923076923,5.531436014375964,26,52,3,3
crop,ols,pca,raw,beans,,0.9,0.9259259259259259,5.566594973627755,27,52,3,3
crop,ols,pca,raw,groundnuts,,0.9,0.9285714285714286,5.59924257864728,28,52,3,3
crop,ols,pca,raw,irish_potatoes,,0.9,0.875,5.572258980355625,16,52,3,3
crop,ols,pca,raw,maize,,0.9,0.9285714285714286,5.59924257864728,28,52,3,3
crop,ols,pca,raw,millet,,0.9,1.0,5.560323060824548,27,52,3,3
crop,ols,pca,raw,rice,,0.9,0.9583333333333334,5.679284595723405,24,52,3,3
crop,ols,pca,raw,simsim,,0.9,0.9,5.699001934375952,20,52,3,3
crop,ols,pca,raw,sorghum,,0.9,1.0,5.59924257864728,28,52,3,3
crop,ols,pca,raw,soya_beans,,0.9,0.68,5.6264041337351,25,52,3,3
crop,ols,pca,raw,sweet_potatoes,,0.9,0.6923076923076923,5.531436014375959,26,52,3,3
crop,ols,raw,crop_centered,beans,,0.9,0.8148148148148148,15.325406102152261,27,52,3,3
crop,ols,raw,crop_centered,groundnuts,,0.9,0.8214285714285714,15.318609564237386,28,52,3,3
crop,ols,raw,crop_centered,irish_potatoes,,0.9,0.8125,15.773050748518589,16,52,3,3
crop,ols,raw,crop_centered,maize,,0.9,0.8214285714285714,15.318609564237383,28,52,3,3
crop,ols,raw,crop_centered,millet,,0.9,0.8888888888888888,15.597474283193147,27,52,3,3
crop,ols,raw,crop_centered,rice,,0.9,0.8333333333333334,14.28016233365022,24,52,3,3
crop,ols,raw,crop_centered,simsim,,0.9,0.8,14.479770504200195,20,52,3,3
crop,ols,raw,crop_centered,sorghum,,0.9,0.8571428571428571,15.318609564237386,28,52,3,3
crop,ols,raw,crop_centered,soya_beans,,0.9,0.8,14.87690799609389,25,52,3,3
crop,ols,raw,crop_centered,sweet_potatoes,,0.9,0.7307692307692307,15.332725450675973,26,52,3,3
crop,ols,raw,raw,beans,,0.9,0.8148148148148148,15.325406102152261,27,52,3,3
crop,ols,raw,raw,groundnuts,,0.9,0.8214285714285714,15.318609564237388,28,52,3,3
crop,ols,raw,raw,irish_potatoes,,0.9,0.8125,15.773050748518589,16,52,3,3
crop,ols,raw,raw,maize,,0.9,0.8214285714285714,15.318609564237388,28,52,3,3
crop,ols,raw,raw,millet,,0.9,0.8888888888888888,15.597474283193149,27,52,3,3
crop,ols,raw,raw,rice,,0.9,0.8333333333333334,14.280162333650217,24,52,3,3
crop,ols,raw,raw,simsim,,0.9,0.8,14.47977050420019,20,52,3,3
crop,ols,raw,raw,sorghum,,0.9,0.8571428571428571,15.318609564237388,28,52,3,3
crop,ols,raw,raw,soya_beans,,0.9,0.8,14.876907996093887,25,52,3,3
crop,ols,raw,raw,sweet_potatoes,,0.9,0.7307692307692307,15.332725450675971,26,52,3,3
crop,ridge,hybrid,crop_centered,beans,,0.9,1.0,6.290089711628094,27,52,3,3
crop,ridge,hybrid,crop_centered,groundnuts,,0.9,1.0,6.394594208745048,28,52,3,3
crop,ridge,hybrid,crop_centered,irish_potatoes,,0.9,0.875,6.352392192702315,16,52,3,3
crop,ridge,hybrid,crop_centered,maize,,0.9,0.9642857142857143,6.394594208745048,28,52,3,3
crop,ridge,hybrid,crop_centered,millet,,0.9,1.0,6.37262344718426,27,52,3,3
crop,ridge,hybrid,crop_centered,rice,,0.9,1.0,6.442819384126369,24,52,3,3
crop,ridge,hybrid,crop_centered,simsim,,0.9,1.0,6.2759396527590265,20,52,3,3
crop,ridge,hybrid,crop_centered,sorghum,,0.9,1.0,6.394594208745048,28,52,3,3
crop,ridge,hybrid,crop_centered,soya_beans,,0.9,0.68,6.356584038440165,25,52,3,3
crop,ridge,hybrid,crop_centered,sweet_potatoes,,0.9,0.6538461538461539,6.177546407040607,26,52,3,3
crop,ridge,hybrid,raw,beans,,0.9,0.8888888888888888,7.266214380250595,27,52,3,3
crop,ridge,hybrid,raw,groundnuts,,0.9,0.9642857142857143,7.358035416148466,28,52,3,3
crop,ridge,hybrid,raw,irish_potatoes,,0.9,0.875,7.341241766115205,16,52,3,3
crop,ridge,hybrid,raw,maize,,0.9,0.9285714285714286,7.358035416148466,28,52,3,3
crop,ridge,hybrid,raw,millet,,0.9,1.0,7.442756851259328,27,52,3,3
crop,ridge,hybrid,raw,rice,,0.9,0.9583333333333334,7.20312754725379,24,52,3,3
crop,ridge,hybrid,raw,simsim,,0.9,0.9,6.83595864025326,20,52,3,3
crop,ridge,hybrid,raw,sorghum,,0.9,1.0,7.358035416148466,28,52,3,3
crop,ridge,hybrid,raw,soya_beans,,0.9,0.8,7.205799088392907,25,52,3,3
crop,ridge,hybrid,raw,sweet_potatoes,,0.9,0.6923076923076923,7.167330187745194,26,52,3,3
crop,ridge,pca,crop_centered,beans,,0.9,1.0,6.3939971060025265,27,52,3,3
crop,ridge,pca,crop_centered,groundnuts,,0.9,1.0,6.4281346529230605,28,52,3,3
crop,ridge,pca,crop_centered,irish_potatoes,,0.9,0.9375,6.505178337161569,16,52,3,3
crop,ridge,pca,crop_centered,maize,,0.9,0.9642857142857143,6.4281346529230605,28,52,3,3
crop,ridge,pca,crop_centered,millet,,0.9,1.0,6.398594040762676,27,52,3,3
crop,ridge,pca,crop_centered,rice,,0.9,1.0,6.436963079506332,24,52,3,3
crop,ridge,pca,crop_centered,simsim,,0.9,1.0,6.369149168764446,20,52,3,3
crop,ridge,pca,crop_centered,sorghum,,0.9,1.0,6.4281346529230605,28,52,3,3
crop,ridge,pca,crop_centered,soya_beans,,0.9,0.68,6.410805501317167,25,52,3,3
crop,ridge,pca,crop_centered,sweet_potatoes,,0.9,0.6538461538461539,6.35723359393426,26,52,3,3
crop,ridge,pca,raw,beans,,0.9,0.8148148148148148,5.357238917346744,27,52,3,3
crop,ridge,pca,raw,groundnuts,,0.9,0.8928571428571429,5.393852891253347,28,52,3,3
crop,ridge,pca,raw,irish_potatoes,,0.9,0.9375,5.268430436664844,16,52,3,3
crop,ridge,pca,raw,maize,,0.9,0.9285714285714286,5.393852891253347,28,52,3,3
crop,ridge,pca,raw,millet,,0.9,0.9259259259259259,5.3785672709337975,27,52,3,3
crop,ridge,pca,raw,rice,,0.9,0.9583333333333334,5.49681764581388,24,52,3,3
crop,ridge,pca,raw,simsim,,0.9,0.9,5.47270716636101,20,52,3,3
crop,ridge,pca,raw,sorghum,,0.9,1.0,5.393852891253347,28,52,3,3
crop,ridge,pca,raw,soya_beans,,0.9,0.72,5.4241344854540285,25,52,3,3
crop,ridge,pca,raw,sweet_potatoes,,0.9,0.6153846153846154,5.317808483908863,26,52,3,3
